Loss,Epochs,How may saturated
0.0499208,1493,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0827094
-3.129,-0.0125936,-0.0910625
-3.11641,-0.0251831,-0.0994163
-3.10382,-0.0377681,-0.10777
-3.09122,-0.0503474,-0.116123
-3.07863,-0.0629187,-0.124476
-3.06604,-0.0754798,-0.132829
-3.05345,-0.0880292,-0.141183
-3.04086,-0.100565,-0.149537
-3.02827,-0.113084,-0.157889
-3.01567,-0.125586,-0.166243
-3.00308,-0.138067,-0.174596
-2.99049,-0.150527,-0.18295
-2.9779,-0.162963,-0.191303
-2.96531,-0.175373,-0.199657
-2.95272,-0.187755,-0.20801
-2.94013,-0.200107,-0.216363
-2.92753,-0.212428,-0.224717
-2.91494,-0.224715,-0.233069
-2.90235,-0.236966,-0.241423
-2.88976,-0.24918,-0.249777
-2.87717,-0.261354,-0.25813
-2.86458,-0.273487,-0.266483
-2.85198,-0.285576,-0.274836
-2.83939,-0.297621,-0.28319
-2.8268,-0.309618,-0.291543
-2.81421,-0.321566,-0.299897
-2.80162,-0.333463,-0.30825
-2.78903,-0.345307,-0.316603
-2.77644,-0.357096,-0.324956
-2.76384,-0.368829,-0.33331
-2.75125,-0.380503,-0.341664
-2.73866,-0.392117,-0.350016
-2.72607,-0.403669,-0.35837
-2.71348,-0.415157,-0.366723
-2.70089,-0.426578,-0.375077
-2.68829,-0.437933,-0.38343
-2.6757,-0.449218,-0.391783
-2.66311,-0.460431,-0.400137
-2.65052,-0.471572,-0.40849
-2.63793,-0.482638,-0.416844
-2.62534,-0.493628,-0.425197
-2.61275,-0.504539,-0.43355
-2.60015,-0.51537,-0.441904
-2.58756,-0.526119,-0.450257
-2.57497,-0.536785,-0.45861
-2.56238,-0.547366,-0.466964
-2.54979,-0.55786,-0.475317
-2.5372,-0.568266,-0.48367
-2.5246,-0.578581,-0.492024
-2.51201,-0.588805,-0.500377
-2.49942,-0.598936,-0.50873
-2.48683,-0.608971,-0.517084
-2.47424,-0.61891,-0.525437
-2.46165,-0.628751,-0.53379
-2.44906,-0.638492,-0.542144
-2.43646,-0.648132,-0.550497
-2.42387,-0.657669,-0.55885
-2.41128,-0.667102,-0.567204
-2.39869,-0.676429,-0.575557
-2.3861,-0.685649,-0.583911
-2.37351,-0.69476,-0.592264
-2.36091,-0.703761,-0.600617
-2.34832,-0.712651,-0.608971
-2.33573,-0.721427,-0.617324
-2.32314,-0.73009,-0.625678
-2.31055,-0.738636,-0.634031
-2.29796,-0.747065,-0.642384
-2.28537,-0.755376,-0.650738
-2.27277,-0.763567,-0.659091
-2.26018,-0.771637,-0.667444
-2.24759,-0.779584,-0.675798
-2.235,-0.787409,-0.684151
-2.22241,-0.795108,-0.692504
-2.20982,-0.802681,-0.700857
-2.19722,-0.810127,-0.709211
-2.18463,-0.817444,-0.717564
-2.17204,-0.824632,-0.725918
-2.15945,-0.831689,-0.734271
-2.14686,-0.838614,-0.742624
-2.13427,-0.845407,-0.750978
-2.12168,-0.852065,-0.759331
-2.10908,-0.858588,-0.767684
-2.09649,-0.864975,-0.776038
-2.0839,-0.871225,-0.784391
-2.07131,-0.877337,-0.792745
-2.05872,-0.883309,-0.801097
-2.04613,-0.889142,-0.809451
-2.03353,-0.894834,-0.817804
-2.02094,-0.900383,-0.826158
-2.00835,-0.905791,-0.834511
-1.99576,-0.911054,-0.842864
-1.98317,-0.916173,-0.851218
-1.97058,-0.921147,-0.859571
-1.95799,-0.925974,-0.867925
-1.94539,-0.930655,-0.876278
-1.9328,-0.935188,-0.884632
-1.92021,-0.939573,-0.892985
-1.90762,-0.94381,-0.901338
-1.89503,-0.947896,-0.909691
-1.88244,-0.951832,-0.918045
-1.86984,-0.955617,-0.926398
-1.85725,-0.959251,-0.934751
-1.84466,-0.962733,-0.943105
-1.83207,-0.966062,-0.951458
-1.81948,-0.969238,-0.959811
-1.80689,-0.97226,-0.963839
-1.7943,-0.975128,-0.964559
-1.7817,-0.977841,-0.964441
-1.76911,-0.9804,-0.964271
-1.75652,-0.982803,-0.964101
-1.74393,-0.98505,-0.963931
-1.73134,-0.987141,-0.963761
-1.71875,-0.989075,-0.963591
-1.70615,-0.990853,-0.963421
-1.69356,-0.992474,-0.963251
-1.68097,-0.993937,-0.963081
-1.66838,-0.995243,-0.96291
-1.65579,-0.99639,-0.96274
-1.6432,-0.99738,-0.962571
-1.6306,-0.998212,-0.960429
-1.61801,-0.998886,-0.957698
-1.60542,-0.999401,-0.954968
-1.59283,-0.999757,-0.952238
-1.58024,-0.999955,-0.949508
-1.56765,-0.999995,-0.946777
-1.55506,-0.999876,-0.944047
-1.54246,-0.999599,-0.941316
-1.52987,-0.999163,-0.938586
-1.51728,-0.998568,-0.935856
-1.50469,-0.997816,-0.933125
-1.4921,-0.996905,-0.930395
-1.47951,-0.995836,-0.927665
-1.46691,-0.994609,-0.924935
-1.45432,-0.993225,-0.922204
-1.44173,-0.991683,-0.919474
-1.42914,-0.989983,-0.916743
-1.41655,-0.988127,-0.914013
-1.40396,-0.986115,-0.911283
-1.39137,-0.983945,-0.908552
-1.37877,-0.98162,-0.905822
-1.36618,-0.97914,-0.903091
-1.35359,-0.976503,-0.900361
-1.341,-0.973713,-0.897631
-1.32841,-0.970767,-0.8949
-1.31582,-0.967668,-0.89217
-1.30322,-0.964416,-0.88944
-1.29063,-0.96101,-0.886709
-1.27804,-0.957453,-0.883979
-1.26545,-0.953743,-0.881249
-1.25286,-0.949882,-0.878518
-1.24027,-0.945871,-0.875788
-1.22768,-0.941709,-0.873057
-1.21508,-0.937399,-0.870327
-1.20249,-0.932939,-0.867597
-1.1899,-0.928332,-0.864867
-1.17731,-0.923578,-0.862136
-1.16472,-0.918677,-0.859406
-1.15213,-0.91363,-0.856675
-1.13953,-0.908439,-0.853945
-1.12694,-0.903104,-0.851215
-1.11435,-0.897625,-0.848484
-1.10176,-0.892004,-0.845754
-1.08917,-0.886242,-0.843024
-1.07658,-0.880339,-0.840293
-1.06399,-0.874297,-0.837563
-1.05139,-0.868116,-0.834832
