Loss,Epochs,How may saturated
0.0499689,1889,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0798344
-3.129,-0.0125936,-0.0891931
-3.11641,-0.0251831,-0.0985524
-3.10382,-0.0377681,-0.107911
-3.09122,-0.0503474,-0.117269
-3.07863,-0.0629187,-0.126628
-3.06604,-0.0754798,-0.135987
-3.05345,-0.0880292,-0.145345
-3.04086,-0.100565,-0.154704
-3.02827,-0.113084,-0.164063
-3.01567,-0.125586,-0.173422
-3.00308,-0.138067,-0.18278
-2.99049,-0.150527,-0.192139
-2.9779,-0.162963,-0.201498
-2.96531,-0.175373,-0.210857
-2.95272,-0.187755,-0.220215
-2.94013,-0.200107,-0.229574
-2.92753,-0.212428,-0.238933
-2.91494,-0.224715,-0.248291
-2.90235,-0.236966,-0.25765
-2.88976,-0.24918,-0.267008
-2.87717,-0.261354,-0.276367
-2.86458,-0.273487,-0.285726
-2.85198,-0.285576,-0.295085
-2.83939,-0.297621,-0.304443
-2.8268,-0.309618,-0.313802
-2.81421,-0.321566,-0.323161
-2.80162,-0.333463,-0.332519
-2.78903,-0.345307,-0.341878
-2.77644,-0.357096,-0.351237
-2.76384,-0.368829,-0.360595
-2.75125,-0.380503,-0.369954
-2.73866,-0.392117,-0.379313
-2.72607,-0.403669,-0.388672
-2.71348,-0.415157,-0.398031
-2.70089,-0.426578,-0.407389
-2.68829,-0.437933,-0.416748
-2.6757,-0.449218,-0.426106
-2.66311,-0.460431,-0.435465
-2.65052,-0.471572,-0.444824
-2.63793,-0.482638,-0.454182
-2.62534,-0.493628,-0.463542
-2.61275,-0.504539,-0.4729
-2.60015,-0.51537,-0.482259
-2.58756,-0.526119,-0.491617
-2.57497,-0.536785,-0.500976
-2.56238,-0.547366,-0.510335
-2.54979,-0.55786,-0.519694
-2.5372,-0.568266,-0.529052
-2.5246,-0.578581,-0.538411
-2.51201,-0.588805,-0.54777
-2.49942,-0.598936,-0.557128
-2.48683,-0.608971,-0.566487
-2.47424,-0.61891,-0.575846
-2.46165,-0.628751,-0.585204
-2.44906,-0.638492,-0.594563
-2.43646,-0.648132,-0.603922
-2.42387,-0.657669,-0.613281
-2.41128,-0.667102,-0.622639
-2.39869,-0.676429,-0.631998
-2.3861,-0.685649,-0.641357
-2.37351,-0.69476,-0.650715
-2.36091,-0.703761,-0.660074
-2.34832,-0.712651,-0.669433
-2.33573,-0.721427,-0.678792
-2.32314,-0.73009,-0.688151
-2.31055,-0.738636,-0.697509
-2.29796,-0.747065,-0.706868
-2.28537,-0.755376,-0.716226
-2.27277,-0.763567,-0.725585
-2.26018,-0.771637,-0.734944
-2.24759,-0.779584,-0.744303
-2.235,-0.787409,-0.753661
-2.22241,-0.795108,-0.76302
-2.20982,-0.802681,-0.772378
-2.19722,-0.810127,-0.781737
-2.18463,-0.817444,-0.791096
-2.17204,-0.824632,-0.800455
-2.15945,-0.831689,-0.809813
-2.14686,-0.838614,-0.819172
-2.13427,-0.845407,-0.828531
-2.12168,-0.852065,-0.837623
-2.10908,-0.858588,-0.846137
-2.09649,-0.864975,-0.854651
-2.0839,-0.871225,-0.863165
-2.07131,-0.877337,-0.871679
-2.05872,-0.883309,-0.880193
-2.04613,-0.889142,-0.888707
-2.03353,-0.894834,-0.897221
-2.02094,-0.900383,-0.905276
-2.00835,-0.905791,-0.912472
-1.99576,-0.911054,-0.916639
-1.98317,-0.916173,-0.920363
-1.97058,-0.921147,-0.924088
-1.95799,-0.925974,-0.927812
-1.94539,-0.930655,-0.931537
-1.9328,-0.935188,-0.935262
-1.92021,-0.939573,-0.938986
-1.90762,-0.94381,-0.942316
-1.89503,-0.947896,-0.945495
-1.88244,-0.951832,-0.948675
-1.86984,-0.955617,-0.951854
-1.85725,-0.959251,-0.955034
-1.84466,-0.962733,-0.958213
-1.83207,-0.966062,-0.961393
-1.81948,-0.969238,-0.964573
-1.80689,-0.97226,-0.967752
-1.7943,-0.975128,-0.970932
-1.7817,-0.977841,-0.974111
-1.76911,-0.9804,-0.975292
-1.75652,-0.982803,-0.976467
-1.74393,-0.98505,-0.977643
-1.73134,-0.987141,-0.978819
-1.71875,-0.989075,-0.979994
-1.70615,-0.990853,-0.98117
-1.69356,-0.992474,-0.982345
-1.68097,-0.993937,-0.983521
-1.66838,-0.995243,-0.984697
-1.65579,-0.99639,-0.985872
-1.6432,-0.99738,-0.987048
-1.6306,-0.998212,-0.988223
-1.61801,-0.998886,-0.989399
-1.60542,-0.999401,-0.990574
-1.59283,-0.999757,-0.99175
-1.58024,-0.999955,-0.992926
-1.56765,-0.999995,-0.994101
-1.55506,-0.999876,-0.995277
-1.54246,-0.999599,-0.996452
-1.52987,-0.999163,-0.997627
-1.51728,-0.998568,-0.998803
-1.50469,-0.997816,-0.999979
-1.4921,-0.996905,-1.00115
-1.47951,-0.995836,-1.00233
-1.46691,-0.994609,-1.00351
-1.45432,-0.993225,-1.00468
-1.44173,-0.991683,-1.00586
-1.42914,-0.989983,-1.00703
-1.41655,-0.988127,-1.00821
-1.40396,-0.986115,-1.00938
-1.39137,-0.983945,-1.01056
-1.37877,-0.98162,-1.01173
-1.36618,-0.97914,-1.01291
-1.35359,-0.976503,-1.01029
-1.341,-0.973713,-1.00311
-1.32841,-0.970767,-0.995931
-1.31582,-0.967668,-0.988751
-1.30322,-0.964416,-0.981571
-1.29063,-0.96101,-0.974391
-1.27804,-0.957453,-0.967211
-1.26545,-0.953743,-0.960031
-1.25286,-0.949882,-0.952851
