Loss,Epochs,How may saturated
0.0491708,847,5

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0992913
-3.129,-0.0125936,-0.108069
-3.11641,-0.0251831,-0.116846
-3.10382,-0.0377681,-0.125624
-3.09122,-0.0503474,-0.134402
-3.07863,-0.0629187,-0.14318
-3.06604,-0.0754798,-0.151957
-3.05345,-0.0880292,-0.160736
-3.04086,-0.100565,-0.169513
-3.02827,-0.113084,-0.178291
-3.01567,-0.125586,-0.187069
-3.00308,-0.138067,-0.195847
-2.99049,-0.150527,-0.204624
-2.9779,-0.162963,-0.213402
-2.96531,-0.175373,-0.222181
-2.95272,-0.187755,-0.230958
-2.94013,-0.200107,-0.239736
-2.92753,-0.212428,-0.248514
-2.91494,-0.224715,-0.257291
-2.90235,-0.236966,-0.266069
-2.88976,-0.24918,-0.274846
-2.87717,-0.261354,-0.283625
-2.86458,-0.273487,-0.292403
-2.85198,-0.285576,-0.30118
-2.83939,-0.297621,-0.309959
-2.8268,-0.309618,-0.318737
-2.81421,-0.321566,-0.327514
-2.80162,-0.333463,-0.336291
-2.78903,-0.345307,-0.34507
-2.77644,-0.357096,-0.353848
-2.76384,-0.368829,-0.362626
-2.75125,-0.380503,-0.371403
-2.73866,-0.392117,-0.380181
-2.72607,-0.403669,-0.388959
-2.71348,-0.415157,-0.397736
-2.70089,-0.426578,-0.406514
-2.68829,-0.437933,-0.415292
-2.6757,-0.449218,-0.424071
-2.66311,-0.460431,-0.432848
-2.65052,-0.471572,-0.441625
-2.63793,-0.482638,-0.450404
-2.62534,-0.493628,-0.459182
-2.61275,-0.504539,-0.46796
-2.60015,-0.51537,-0.476737
-2.58756,-0.526119,-0.485515
-2.57497,-0.536785,-0.494293
-2.56238,-0.547366,-0.503071
-2.54979,-0.55786,-0.511848
-2.5372,-0.568266,-0.520627
-2.5246,-0.578581,-0.529404
-2.51201,-0.588805,-0.538181
-2.49942,-0.598936,-0.54696
-2.48683,-0.608971,-0.555737
-2.47424,-0.61891,-0.564516
-2.46165,-0.628751,-0.573293
-2.44906,-0.638492,-0.582071
-2.43646,-0.648132,-0.590848
-2.42387,-0.657669,-0.599626
-2.41128,-0.667102,-0.608405
-2.39869,-0.676429,-0.617183
-2.3861,-0.685649,-0.62596
-2.37351,-0.69476,-0.634739
-2.36091,-0.703761,-0.643515
-2.34832,-0.712651,-0.652293
-2.33573,-0.721427,-0.661071
-2.32314,-0.73009,-0.669849
-2.31055,-0.738636,-0.678627
-2.29796,-0.747065,-0.687405
-2.28537,-0.755376,-0.696182
-2.27277,-0.763567,-0.704961
-2.26018,-0.771637,-0.713739
-2.24759,-0.779584,-0.722516
-2.235,-0.787409,-0.731294
-2.22241,-0.795108,-0.740072
-2.20982,-0.802681,-0.74885
