Loss,Epochs,How may saturated
0.0499721,976,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.115934
-3.129,-0.0125936,-0.124014
-3.11641,-0.0251831,-0.132093
-3.10382,-0.0377681,-0.140173
-3.09122,-0.0503474,-0.148252
-3.07863,-0.0629187,-0.156332
-3.06604,-0.0754798,-0.164411
-3.05345,-0.0880292,-0.172491
-3.04086,-0.100565,-0.180571
-3.02827,-0.113084,-0.188651
-3.01567,-0.125586,-0.19673
-3.00308,-0.138067,-0.204809
-2.99049,-0.150527,-0.212889
-2.9779,-0.162963,-0.220969
-2.96531,-0.175373,-0.229048
-2.95272,-0.187755,-0.237128
-2.94013,-0.200107,-0.245207
-2.92753,-0.212428,-0.253287
-2.91494,-0.224715,-0.261366
-2.90235,-0.236966,-0.269446
-2.88976,-0.24918,-0.277525
-2.87717,-0.261354,-0.285605
-2.86458,-0.273487,-0.293685
-2.85198,-0.285576,-0.301764
-2.83939,-0.297621,-0.309844
-2.8268,-0.309618,-0.317923
-2.81421,-0.321566,-0.326003
-2.80162,-0.333463,-0.334082
-2.78903,-0.345307,-0.342162
-2.77644,-0.357096,-0.350242
-2.76384,-0.368829,-0.358321
-2.75125,-0.380503,-0.366401
-2.73866,-0.392117,-0.37448
-2.72607,-0.403669,-0.38256
-2.71348,-0.415157,-0.390639
-2.70089,-0.426578,-0.398719
-2.68829,-0.437933,-0.406799
-2.6757,-0.449218,-0.414878
-2.66311,-0.460431,-0.422958
-2.65052,-0.471572,-0.431038
-2.63793,-0.482638,-0.439117
-2.62534,-0.493628,-0.447197
-2.61275,-0.504539,-0.455276
-2.60015,-0.51537,-0.463356
-2.58756,-0.526119,-0.471435
-2.57497,-0.536785,-0.479515
-2.56238,-0.547366,-0.487595
-2.54979,-0.55786,-0.495674
-2.5372,-0.568266,-0.503754
-2.5246,-0.578581,-0.511833
-2.51201,-0.588805,-0.519913
-2.49942,-0.598936,-0.527992
-2.48683,-0.608971,-0.536072
-2.47424,-0.61891,-0.544152
-2.46165,-0.628751,-0.552231
-2.44906,-0.638492,-0.560311
-2.43646,-0.648132,-0.56839
-2.42387,-0.657669,-0.576469
-2.41128,-0.667102,-0.584549
-2.39869,-0.676429,-0.592629
-2.3861,-0.685649,-0.600709
-2.37351,-0.69476,-0.608788
-2.36091,-0.703761,-0.616867
-2.34832,-0.712651,-0.624947
-2.33573,-0.721427,-0.633026
-2.32314,-0.73009,-0.641107
-2.31055,-0.738636,-0.649186
-2.29796,-0.747065,-0.657265
-2.28537,-0.755376,-0.665345
-2.27277,-0.763567,-0.673425
-2.26018,-0.771637,-0.681504
-2.24759,-0.779584,-0.689584
-2.235,-0.787409,-0.697663
-2.22241,-0.795108,-0.705743
-2.20982,-0.802681,-0.713822
-2.19722,-0.810127,-0.721902
-2.18463,-0.817444,-0.729981
-2.17204,-0.824632,-0.738061
-2.15945,-0.831689,-0.746141
-2.14686,-0.838614,-0.75422
-2.13427,-0.845407,-0.7623
-2.12168,-0.852065,-0.770379
-2.10908,-0.858588,-0.778459
-2.09649,-0.864975,-0.786539
-2.0839,-0.871225,-0.794618
-2.07131,-0.877337,-0.802698
-2.05872,-0.883309,-0.810777
-2.04613,-0.889142,-0.818857
-2.03353,-0.894834,-0.826936
-2.02094,-0.900383,-0.835016
-2.00835,-0.905791,-0.843096
-1.99576,-0.911054,-0.851175
-1.98317,-0.916173,-0.859255
-1.97058,-0.921147,-0.867334
-1.95799,-0.925974,-0.875414
-1.94539,-0.930655,-0.883494
-1.9328,-0.935188,-0.891573
-1.92021,-0.939573,-0.899652
-1.90762,-0.94381,-0.907732
-1.89503,-0.947896,-0.915435
-1.88244,-0.951832,-0.920796
-1.86984,-0.955617,-0.924103
-1.85725,-0.959251,-0.927409
-1.84466,-0.962733,-0.930716
-1.83207,-0.966062,-0.934022
-1.81948,-0.969238,-0.937328
-1.80689,-0.97226,-0.940635
-1.7943,-0.975128,-0.943941
-1.7817,-0.977841,-0.947248
-1.76911,-0.9804,-0.950379
-1.75652,-0.982803,-0.953208
-1.74393,-0.98505,-0.956036
-1.73134,-0.987141,-0.958866
-1.71875,-0.989075,-0.961695
-1.70615,-0.990853,-0.964524
-1.69356,-0.992474,-0.967353
-1.68097,-0.993937,-0.970181
-1.66838,-0.995243,-0.973011
-1.65579,-0.99639,-0.97584
-1.6432,-0.99738,-0.978669
-1.6306,-0.998212,-0.981498
