Loss,Epochs,How may saturated
0.0496569,1365,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0955975
-3.129,-0.0125936,-0.103708
-3.11641,-0.0251831,-0.111819
-3.10382,-0.0377681,-0.119929
-3.09122,-0.0503474,-0.12804
-3.07863,-0.0629187,-0.136151
-3.06604,-0.0754798,-0.144261
-3.05345,-0.0880292,-0.152372
-3.04086,-0.100565,-0.160482
-3.02827,-0.113084,-0.168593
-3.01567,-0.125586,-0.176704
-3.00308,-0.138067,-0.184815
-2.99049,-0.150527,-0.192925
-2.9779,-0.162963,-0.201035
-2.96531,-0.175373,-0.209146
-2.95272,-0.187755,-0.217257
-2.94013,-0.200107,-0.225368
-2.92753,-0.212428,-0.233478
-2.91494,-0.224715,-0.241588
-2.90235,-0.236966,-0.249699
-2.88976,-0.24918,-0.25781
-2.87717,-0.261354,-0.265921
-2.86458,-0.273487,-0.274031
-2.85198,-0.285576,-0.282142
-2.83939,-0.297621,-0.290253
-2.8268,-0.309618,-0.298363
-2.81421,-0.321566,-0.306474
-2.80162,-0.333463,-0.314584
-2.78903,-0.345307,-0.322695
-2.77644,-0.357096,-0.330806
-2.76384,-0.368829,-0.338916
-2.75125,-0.380503,-0.347027
-2.73866,-0.392117,-0.355137
-2.72607,-0.403669,-0.363248
-2.71348,-0.415157,-0.371358
-2.70089,-0.426578,-0.379469
-2.68829,-0.437933,-0.38758
-2.6757,-0.449218,-0.395691
-2.66311,-0.460431,-0.403802
-2.65052,-0.471572,-0.411912
-2.63793,-0.482638,-0.420022
-2.62534,-0.493628,-0.428133
-2.61275,-0.504539,-0.436244
-2.60015,-0.51537,-0.444354
-2.58756,-0.526119,-0.452465
-2.57497,-0.536785,-0.460575
-2.56238,-0.547366,-0.468686
-2.54979,-0.55786,-0.476797
-2.5372,-0.568266,-0.484907
-2.5246,-0.578581,-0.493018
-2.51201,-0.588805,-0.501128
-2.49942,-0.598936,-0.509239
-2.48683,-0.608971,-0.51735
-2.47424,-0.61891,-0.525461
-2.46165,-0.628751,-0.533571
-2.44906,-0.638492,-0.541682
-2.43646,-0.648132,-0.549792
-2.42387,-0.657669,-0.557903
-2.41128,-0.667102,-0.566013
-2.39869,-0.676429,-0.574124
-2.3861,-0.685649,-0.582235
-2.37351,-0.69476,-0.590345
-2.36091,-0.703761,-0.598456
-2.34832,-0.712651,-0.606566
-2.33573,-0.721427,-0.614677
-2.32314,-0.73009,-0.622788
-2.31055,-0.738636,-0.630899
-2.29796,-0.747065,-0.639009
-2.28537,-0.755376,-0.64712
-2.27277,-0.763567,-0.65523
-2.26018,-0.771637,-0.663341
-2.24759,-0.779584,-0.671452
-2.235,-0.787409,-0.679562
-2.22241,-0.795108,-0.687673
-2.20982,-0.802681,-0.695784
-2.19722,-0.810127,-0.703894
-2.18463,-0.817444,-0.712005
-2.17204,-0.824632,-0.720116
-2.15945,-0.831689,-0.728226
-2.14686,-0.838614,-0.736336
-2.13427,-0.845407,-0.744447
-2.12168,-0.852065,-0.752558
-2.10908,-0.858588,-0.760669
-2.09649,-0.864975,-0.768779
-2.0839,-0.871225,-0.77689
-2.07131,-0.877337,-0.785001
-2.05872,-0.883309,-0.793111
-2.04613,-0.889142,-0.801222
-2.03353,-0.894834,-0.809332
-2.02094,-0.900383,-0.817443
-2.00835,-0.905791,-0.825553
-1.99576,-0.911054,-0.833664
-1.98317,-0.916173,-0.841775
-1.97058,-0.921147,-0.849886
-1.95799,-0.925974,-0.857996
-1.94539,-0.930655,-0.866107
-1.9328,-0.935188,-0.874217
-1.92021,-0.939573,-0.882328
-1.90762,-0.94381,-0.890438
-1.89503,-0.947896,-0.898549
-1.88244,-0.951832,-0.90666
-1.86984,-0.955617,-0.91477
-1.85725,-0.959251,-0.922881
-1.84466,-0.962733,-0.930992
-1.83207,-0.966062,-0.939102
-1.81948,-0.969238,-0.947213
-1.80689,-0.97226,-0.954672
-1.7943,-0.975128,-0.956728
-1.7817,-0.977841,-0.958153
-1.76911,-0.9804,-0.959579
-1.75652,-0.982803,-0.961005
-1.74393,-0.98505,-0.961939
-1.73134,-0.987141,-0.96197
-1.71875,-0.989075,-0.962001
-1.70615,-0.990853,-0.962033
-1.69356,-0.992474,-0.962065
-1.68097,-0.993937,-0.962096
-1.66838,-0.995243,-0.962127
-1.65579,-0.99639,-0.962159
-1.6432,-0.99738,-0.96219
-1.6306,-0.998212,-0.962221
-1.61801,-0.998886,-0.960801
-1.60542,-0.999401,-0.957973
-1.59283,-0.999757,-0.955145
