Loss,Epochs,How may saturated
0.049888,1759,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.10725
-3.129,-0.0125936,-0.11633
-3.11641,-0.0251831,-0.125411
-3.10382,-0.0377681,-0.134492
-3.09122,-0.0503474,-0.143572
-3.07863,-0.0629187,-0.152653
-3.06604,-0.0754798,-0.161734
-3.05345,-0.0880292,-0.170815
-3.04086,-0.100565,-0.179895
-3.02827,-0.113084,-0.188976
-3.01567,-0.125586,-0.198057
-3.00308,-0.138067,-0.207138
-2.99049,-0.150527,-0.216218
-2.9779,-0.162963,-0.225298
-2.96531,-0.175373,-0.234379
-2.95272,-0.187755,-0.24346
-2.94013,-0.200107,-0.252541
-2.92753,-0.212428,-0.261621
-2.91494,-0.224715,-0.270702
-2.90235,-0.236966,-0.279783
-2.88976,-0.24918,-0.288863
-2.87717,-0.261354,-0.297944
-2.86458,-0.273487,-0.307025
-2.85198,-0.285576,-0.316105
-2.83939,-0.297621,-0.325186
-2.8268,-0.309618,-0.334267
-2.81421,-0.321566,-0.343348
-2.80162,-0.333463,-0.352428
-2.78903,-0.345307,-0.361509
-2.77644,-0.357096,-0.37059
-2.76384,-0.368829,-0.37967
-2.75125,-0.380503,-0.388751
-2.73866,-0.392117,-0.397832
-2.72607,-0.403669,-0.406912
-2.71348,-0.415157,-0.415993
-2.70089,-0.426578,-0.425074
-2.68829,-0.437933,-0.434155
-2.6757,-0.449218,-0.443235
-2.66311,-0.460431,-0.452316
-2.65052,-0.471572,-0.461397
-2.63793,-0.482638,-0.470477
-2.62534,-0.493628,-0.479558
-2.61275,-0.504539,-0.488639
-2.60015,-0.51537,-0.49772
-2.58756,-0.526119,-0.5068
-2.57497,-0.536785,-0.515881
-2.56238,-0.547366,-0.524962
-2.54979,-0.55786,-0.534042
-2.5372,-0.568266,-0.543123
-2.5246,-0.578581,-0.552204
-2.51201,-0.588805,-0.561284
-2.49942,-0.598936,-0.570365
-2.48683,-0.608971,-0.579446
-2.47424,-0.61891,-0.588527
-2.46165,-0.628751,-0.597607
-2.44906,-0.638492,-0.606688
-2.43646,-0.648132,-0.615768
-2.42387,-0.657669,-0.624849
-2.41128,-0.667102,-0.63393
-2.39869,-0.676429,-0.643011
-2.3861,-0.685649,-0.652091
-2.37351,-0.69476,-0.661172
-2.36091,-0.703761,-0.670253
-2.34832,-0.712651,-0.679334
-2.33573,-0.721427,-0.688414
-2.32314,-0.73009,-0.697495
-2.31055,-0.738636,-0.706575
-2.29796,-0.747065,-0.715656
-2.28537,-0.755376,-0.724737
-2.27277,-0.763567,-0.733817
-2.26018,-0.771637,-0.742898
-2.24759,-0.779584,-0.751979
-2.235,-0.787409,-0.76106
-2.22241,-0.795108,-0.77014
-2.20982,-0.802681,-0.779221
-2.19722,-0.810127,-0.788302
-2.18463,-0.817444,-0.797382
-2.17204,-0.824632,-0.806463
-2.15945,-0.831689,-0.815544
-2.14686,-0.838614,-0.824625
-2.13427,-0.845407,-0.833705
-2.12168,-0.852065,-0.842786
-2.10908,-0.858588,-0.851867
