Loss,Epochs,How may saturated
0.0499646,1577,6

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0134902
-3.129,-0.0125936,-0.0202978
-3.11641,-0.0251831,-0.0271056
-3.10382,-0.0377681,-0.03608
-3.09122,-0.0503474,-0.0459865
-3.07863,-0.0629187,-0.0558931
-3.06604,-0.0754798,-0.0657995
-3.05345,-0.0880292,-0.075706
-3.04086,-0.100565,-0.0856123
-3.02827,-0.113084,-0.0955186
-3.01567,-0.125586,-0.105425
-3.00308,-0.138067,-0.115331
-2.99049,-0.150527,-0.125238
-2.9779,-0.162963,-0.135145
-2.96531,-0.175373,-0.145051
-2.95272,-0.187755,-0.154958
-2.94013,-0.200107,-0.164864
-2.92753,-0.212428,-0.17477
-2.91494,-0.224715,-0.184676
-2.90235,-0.236966,-0.194583
-2.88976,-0.24918,-0.204489
-2.87717,-0.261354,-0.214396
-2.86458,-0.273487,-0.224302
-2.85198,-0.285576,-0.234208
-2.83939,-0.297621,-0.244115
-2.8268,-0.309618,-0.254021
-2.81421,-0.321566,-0.263928
-2.80162,-0.333463,-0.273834
-2.78903,-0.345307,-0.283741
-2.77644,-0.357096,-0.293646
-2.76384,-0.368829,-0.303553
-2.75125,-0.380503,-0.31346
-2.73866,-0.392117,-0.323366
-2.72607,-0.403669,-0.333272
-2.71348,-0.415157,-0.343179
-2.70089,-0.426578,-0.353085
-2.68829,-0.437933,-0.362992
-2.6757,-0.449218,-0.372898
-2.66311,-0.460431,-0.382805
-2.65052,-0.471572,-0.392711
-2.63793,-0.482638,-0.402618
-2.62534,-0.493628,-0.412524
-2.61275,-0.504539,-0.42243
-2.60015,-0.51537,-0.432337
-2.58756,-0.526119,-0.442243
-2.57497,-0.536785,-0.452149
-2.56238,-0.547366,-0.462056
-2.54979,-0.55786,-0.471962
-2.5372,-0.568266,-0.481869
-2.5246,-0.578581,-0.491775
-2.51201,-0.588805,-0.501682
-2.49942,-0.598936,-0.511588
-2.48683,-0.608971,-0.521494
-2.47424,-0.61891,-0.531401
-2.46165,-0.628751,-0.541307
-2.44906,-0.638492,-0.551214
-2.43646,-0.648132,-0.56112
-2.42387,-0.657669,-0.571027
-2.41128,-0.667102,-0.580933
-2.39869,-0.676429,-0.59084
-2.3861,-0.685649,-0.600746
-2.37351,-0.69476,-0.610652
-2.36091,-0.703761,-0.620558
-2.34832,-0.712651,-0.630465
-2.33573,-0.721427,-0.640372
-2.32314,-0.73009,-0.650278
-2.31055,-0.738636,-0.660185
-2.29796,-0.747065,-0.670091
-2.28537,-0.755376,-0.679997
-2.27277,-0.763567,-0.689904
-2.26018,-0.771637,-0.69981
-2.24759,-0.779584,-0.709717
-2.235,-0.787409,-0.719623
-2.22241,-0.795108,-0.729529
-2.20982,-0.802681,-0.739436
-2.19722,-0.810127,-0.749342
-2.18463,-0.817444,-0.759249
-2.17204,-0.824632,-0.769155
-2.15945,-0.831689,-0.779061
-2.14686,-0.838614,-0.788968
-2.13427,-0.845407,-0.798874
-2.12168,-0.852065,-0.808781
-2.10908,-0.858588,-0.818687
-2.09649,-0.864975,-0.828594
-2.0839,-0.871225,-0.8385
-2.07131,-0.877337,-0.848407
-2.05872,-0.883309,-0.858312
-2.04613,-0.889142,-0.868219
-2.03353,-0.894834,-0.878125
-2.02094,-0.900383,-0.888032
-2.00835,-0.905791,-0.897938
-1.99576,-0.911054,-0.907845
-1.98317,-0.916173,-0.917751
-1.97058,-0.921147,-0.927658
-1.95799,-0.925974,-0.937564
-1.94539,-0.930655,-0.94747
-1.9328,-0.935188,-0.957377
-1.92021,-0.939573,-0.967283
-1.90762,-0.94381,-0.97719
-1.89503,-0.947896,-0.987096
-1.88244,-0.951832,-0.997003
-1.86984,-0.955617,-1.00691
-1.85725,-0.959251,-1.01682
-1.84466,-0.962733,-1.02672
-1.83207,-0.966062,-1.03663
-1.81948,-0.969238,-1.04653
-1.80689,-0.97226,-1.04731
-1.7943,-0.975128,-1.04403
-1.7817,-0.977841,-1.04075
-1.76911,-0.9804,-1.03747
-1.75652,-0.982803,-1.03418
-1.74393,-0.98505,-1.0309
-1.73134,-0.987141,-1.02762
-1.71875,-0.989075,-1.02434
-1.70615,-0.990853,-1.02106
-1.69356,-0.992474,-1.01777
-1.68097,-0.993937,-1.01449
-1.66838,-0.995243,-1.01121
-1.65579,-0.99639,-1.00793
-1.6432,-0.99738,-1.00465
-1.6306,-0.998212,-1.00136
-1.61801,-0.998886,-0.998082
-1.60542,-0.999401,-0.9948
-1.59283,-0.999757,-0.991518
-1.58024,-0.999955,-0.988236
-1.56765,-0.999995,-0.984954
-1.55506,-0.999876,-0.981672
-1.54246,-0.999599,-0.97839
-1.52987,-0.999163,-0.975108
-1.51728,-0.998568,-0.971826
-1.50469,-0.997816,-0.968544
-1.4921,-0.996905,-0.965262
-1.47951,-0.995836,-0.96198
-1.46691,-0.994609,-0.958698
-1.45432,-0.993225,-0.955416
-1.44173,-0.991683,-0.952134
-1.42914,-0.989983,-0.948852
-1.41655,-0.988127,-0.94557
-1.40396,-0.986115,-0.942288
-1.39137,-0.983945,-0.939006
-1.37877,-0.98162,-0.935724
-1.36618,-0.97914,-0.932442
-1.35359,-0.976503,-0.92916
-1.341,-0.973713,-0.925878
-1.32841,-0.970767,-0.922596
-1.31582,-0.967668,-0.919314
-1.30322,-0.964416,-0.916032
-1.29063,-0.96101,-0.91275
-1.27804,-0.957453,-0.909468
-1.26545,-0.953743,-0.906186
-1.25286,-0.949882,-0.902904
-1.24027,-0.945871,-0.899622
-1.22768,-0.941709,-0.89634
-1.21508,-0.937399,-0.893058
-1.20249,-0.932939,-0.889776
