Loss,Epochs,How may saturated
0.0494644,1146,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0502321
-3.129,-0.0125936,-0.0588176
-3.11641,-0.0251831,-0.0674031
-3.10382,-0.0377681,-0.0759882
-3.09122,-0.0503474,-0.0845739
-3.07863,-0.0629187,-0.0931589
-3.06604,-0.0754798,-0.101744
-3.05345,-0.0880292,-0.11033
-3.04086,-0.100565,-0.118915
-3.02827,-0.113084,-0.127501
-3.01567,-0.125586,-0.136086
-3.00308,-0.138067,-0.144672
-2.99049,-0.150527,-0.153257
-2.9779,-0.162963,-0.161842
-2.96531,-0.175373,-0.170428
-2.95272,-0.187755,-0.179013
-2.94013,-0.200107,-0.187598
-2.92753,-0.212428,-0.196184
-2.91494,-0.224715,-0.204769
-2.90235,-0.236966,-0.213355
-2.88976,-0.24918,-0.22194
-2.87717,-0.261354,-0.230525
-2.86458,-0.273487,-0.239111
-2.85198,-0.285576,-0.247696
-2.83939,-0.297621,-0.256281
-2.8268,-0.309618,-0.264867
-2.81421,-0.321566,-0.273453
-2.80162,-0.333463,-0.282037
-2.78903,-0.345307,-0.290623
-2.77644,-0.357096,-0.299208
-2.76384,-0.368829,-0.307794
-2.75125,-0.380503,-0.316379
-2.73866,-0.392117,-0.324964
-2.72607,-0.403669,-0.33355
-2.71348,-0.415157,-0.342135
-2.70089,-0.426578,-0.35072
-2.68829,-0.437933,-0.359306
-2.6757,-0.449218,-0.367891
-2.66311,-0.460431,-0.376477
-2.65052,-0.471572,-0.385062
-2.63793,-0.482638,-0.393647
-2.62534,-0.493628,-0.402233
-2.61275,-0.504539,-0.410818
-2.60015,-0.51537,-0.419404
-2.58756,-0.526119,-0.427989
-2.57497,-0.536785,-0.436574
-2.56238,-0.547366,-0.44516
-2.54979,-0.55786,-0.453745
-2.5372,-0.568266,-0.462331
-2.5246,-0.578581,-0.470916
-2.51201,-0.588805,-0.479501
-2.49942,-0.598936,-0.488087
-2.48683,-0.608971,-0.496672
-2.47424,-0.61891,-0.505258
-2.46165,-0.628751,-0.513843
-2.44906,-0.638492,-0.522428
-2.43646,-0.648132,-0.531014
-2.42387,-0.657669,-0.539598
-2.41128,-0.667102,-0.548185
-2.39869,-0.676429,-0.55677
-2.3861,-0.685649,-0.565355
-2.37351,-0.69476,-0.573941
-2.36091,-0.703761,-0.582526
-2.34832,-0.712651,-0.591111
-2.33573,-0.721427,-0.599697
-2.32314,-0.73009,-0.608282
-2.31055,-0.738636,-0.616867
-2.29796,-0.747065,-0.625453
-2.28537,-0.755376,-0.634038
-2.27277,-0.763567,-0.642624
-2.26018,-0.771637,-0.651209
-2.24759,-0.779584,-0.659794
-2.235,-0.787409,-0.66838
-2.22241,-0.795108,-0.676965
-2.20982,-0.802681,-0.68555
-2.19722,-0.810127,-0.694136
-2.18463,-0.817444,-0.702721
-2.17204,-0.824632,-0.711307
-2.15945,-0.831689,-0.719892
-2.14686,-0.838614,-0.728477
-2.13427,-0.845407,-0.737063
-2.12168,-0.852065,-0.745648
-2.10908,-0.858588,-0.754234
-2.09649,-0.864975,-0.762819
-2.0839,-0.871225,-0.771404
-2.07131,-0.877337,-0.77999
-2.05872,-0.883309,-0.788575
-2.04613,-0.889142,-0.79716
-2.03353,-0.894834,-0.805746
-2.02094,-0.900383,-0.814331
-2.00835,-0.905791,-0.822917
-1.99576,-0.911054,-0.831502
-1.98317,-0.916173,-0.840087
-1.97058,-0.921147,-0.848673
-1.95799,-0.925974,-0.857258
-1.94539,-0.930655,-0.865843
-1.9328,-0.935188,-0.874429
-1.92021,-0.939573,-0.883014
-1.90762,-0.94381,-0.891599
-1.89503,-0.947896,-0.900185
-1.88244,-0.951832,-0.907043
-1.86984,-0.955617,-0.912994
-1.85725,-0.959251,-0.918945
-1.84466,-0.962733,-0.923805
-1.83207,-0.966062,-0.925657
-1.81948,-0.969238,-0.927509
-1.80689,-0.97226,-0.92936
-1.7943,-0.975128,-0.931212
-1.7817,-0.977841,-0.933063
-1.76911,-0.9804,-0.934915
-1.75652,-0.982803,-0.936767
-1.74393,-0.98505,-0.938618
-1.73134,-0.987141,-0.94047
-1.71875,-0.989075,-0.942321
-1.70615,-0.990853,-0.944173
-1.69356,-0.992474,-0.945176
-1.68097,-0.993937,-0.94444
-1.66838,-0.995243,-0.943704
-1.65579,-0.99639,-0.942968
-1.6432,-0.99738,-0.942231
-1.6306,-0.998212,-0.941035
-1.61801,-0.998886,-0.939677
-1.60542,-0.999401,-0.938319
-1.59283,-0.999757,-0.936961
-1.58024,-0.999955,-0.935604
-1.56765,-0.999995,-0.934246
-1.55506,-0.999876,-0.932888
-1.54246,-0.999599,-0.93153
-1.52987,-0.999163,-0.930173
-1.51728,-0.998568,-0.928815
