Loss,Epochs,How may saturated
0.0499985,8856,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.130819
-3.129,-0.0125936,-0.139443
-3.11641,-0.0251831,-0.148068
-3.10382,-0.0377681,-0.156691
-3.09122,-0.0503474,-0.165314
-3.07863,-0.0629187,-0.173936
-3.06604,-0.0754798,-0.182556
-3.05345,-0.0880292,-0.191173
-3.04086,-0.100565,-0.199788
-3.02827,-0.113084,-0.2084
-3.01567,-0.125586,-0.217008
-3.00308,-0.138067,-0.225611
-2.99049,-0.150527,-0.23421
-2.9779,-0.162963,-0.242804
-2.96531,-0.175373,-0.251392
-2.95272,-0.187755,-0.259972
-2.94013,-0.200107,-0.268547
-2.92753,-0.212428,-0.277113
-2.91494,-0.224715,-0.285672
-2.90235,-0.236966,-0.294221
-2.88976,-0.24918,-0.302762
-2.87717,-0.261354,-0.311292
-2.86458,-0.273487,-0.319812
-2.85198,-0.285576,-0.32832
-2.83939,-0.297621,-0.336817
-2.8268,-0.309618,-0.345301
-2.81421,-0.321566,-0.353772
-2.80162,-0.333463,-0.362229
-2.78903,-0.345307,-0.370672
-2.77644,-0.357096,-0.3791
-2.76384,-0.368829,-0.387511
-2.75125,-0.380503,-0.395907
-2.73866,-0.392117,-0.404285
-2.72607,-0.403669,-0.412645
-2.71348,-0.415157,-0.420986
-2.70089,-0.426578,-0.429307
-2.68829,-0.437933,-0.437609
-2.6757,-0.449218,-0.44589
-2.66311,-0.460431,-0.454149
-2.65052,-0.471572,-0.462385
-2.63793,-0.482638,-0.470597
-2.62534,-0.493628,-0.478786
-2.61275,-0.504539,-0.486949
-2.60015,-0.51537,-0.495087
-2.58756,-0.526119,-0.503198
-2.57497,-0.536785,-0.511282
-2.56238,-0.547366,-0.519337
-2.54979,-0.55786,-0.527363
-2.5372,-0.568266,-0.535359
-2.5246,-0.578581,-0.543324
-2.51201,-0.588805,-0.551257
-2.49942,-0.598936,-0.559157
-2.48683,-0.608971,-0.567023
-2.47424,-0.61891,-0.574855
-2.46165,-0.628751,-0.582651
-2.44906,-0.638492,-0.59041
-2.43646,-0.648132,-0.598131
-2.42387,-0.657669,-0.605813
-2.41128,-0.667102,-0.613457
-2.39869,-0.676429,-0.621059
-2.3861,-0.685649,-0.62862
-2.37351,-0.69476,-0.636138
-2.36091,-0.703761,-0.643612
-2.34832,-0.712651,-0.651042
-2.33573,-0.721427,-0.658425
-2.32314,-0.73009,-0.665762
-2.31055,-0.738636,-0.67305
-2.29796,-0.747065,-0.680289
-2.28537,-0.755376,-0.687479
-2.27277,-0.763567,-0.694616
-2.26018,-0.771637,-0.7017
-2.24759,-0.779584,-0.708731
-2.235,-0.787409,-0.715707
-2.22241,-0.795108,-0.722627
-2.20982,-0.802681,-0.729489
-2.19722,-0.810127,-0.736293
-2.18463,-0.817444,-0.743037
-2.17204,-0.824632,-0.74972
-2.15945,-0.831689,-0.756341
-2.14686,-0.838614,-0.762898
-2.13427,-0.845407,-0.769391
-2.12168,-0.852065,-0.775817
-2.10908,-0.858588,-0.782176
-2.09649,-0.864975,-0.788467
-2.0839,-0.871225,-0.794687
-2.07131,-0.877337,-0.800836
-2.05872,-0.883309,-0.806912
-2.04613,-0.889142,-0.812915
-2.03353,-0.894834,-0.818842
-2.02094,-0.900383,-0.824692
-2.00835,-0.905791,-0.830464
-1.99576,-0.911054,-0.836157
-1.98317,-0.916173,-0.841769
-1.97058,-0.921147,-0.847298
-1.95799,-0.925974,-0.852744
-1.94539,-0.930655,-0.858105
-1.9328,-0.935188,-0.863379
-1.92021,-0.939573,-0.868564
-1.90762,-0.94381,-0.873661
-1.89503,-0.947896,-0.878666
-1.88244,-0.951832,-0.883579
-1.86984,-0.955617,-0.888398
-1.85725,-0.959251,-0.893121
-1.84466,-0.962733,-0.897747
-1.83207,-0.966062,-0.902276
-1.81948,-0.969238,-0.906704
-1.80689,-0.97226,-0.91103
-1.7943,-0.975128,-0.915254
-1.7817,-0.977841,-0.919374
-1.76911,-0.9804,-0.923386
-1.75652,-0.982803,-0.927291
-1.74393,-0.98505,-0.931088
-1.73134,-0.987141,-0.934773
-1.71875,-0.989075,-0.938346
-1.70615,-0.990853,-0.941806
-1.69356,-0.992474,-0.94515
-1.68097,-0.993937,-0.948377
-1.66838,-0.995243,-0.951486
-1.65579,-0.99639,-0.954474
-1.6432,-0.99738,-0.957341
-1.6306,-0.998212,-0.960085
-1.61801,-0.998886,-0.962704
-1.60542,-0.999401,-0.965196
-1.59283,-0.999757,-0.967561
-1.58024,-0.999955,-0.969796
-1.56765,-0.999995,-0.9719
-1.55506,-0.999876,-0.973872
-1.54246,-0.999599,-0.97571
-1.52987,-0.999163,-0.977412
-1.51728,-0.998568,-0.978977
-1.50469,-0.997816,-0.980403
-1.4921,-0.996905,-0.981689
-1.47951,-0.995836,-0.982834
-1.46691,-0.994609,-0.983835
-1.45432,-0.993225,-0.984691
-1.44173,-0.991683,-0.985402
-1.42914,-0.989983,-0.985965
-1.41655,-0.988127,-0.986378
-1.40396,-0.986115,-0.986642
-1.39137,-0.983945,-0.986753
