Loss,Epochs,How may saturated
0.0499997,31797,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0835925
-3.129,-0.0125936,-0.0938003
-3.11641,-0.0251831,-0.103995
-3.10382,-0.0377681,-0.114174
-3.09122,-0.0503474,-0.124338
-3.07863,-0.0629187,-0.134486
-3.06604,-0.0754798,-0.144618
-3.05345,-0.0880292,-0.154733
-3.04086,-0.100565,-0.16483
-3.02827,-0.113084,-0.174909
-3.01567,-0.125586,-0.184969
-3.00308,-0.138067,-0.195008
-2.99049,-0.150527,-0.205027
-2.9779,-0.162963,-0.215025
-2.96531,-0.175373,-0.225001
-2.95272,-0.187755,-0.234954
-2.94013,-0.200107,-0.244884
-2.92753,-0.212428,-0.25479
-2.91494,-0.224715,-0.264671
-2.90235,-0.236966,-0.274527
-2.88976,-0.24918,-0.284356
-2.87717,-0.261354,-0.294158
-2.86458,-0.273487,-0.303932
-2.85198,-0.285576,-0.313677
-2.83939,-0.297621,-0.323393
-2.8268,-0.309618,-0.33308
-2.81421,-0.321566,-0.342734
-2.80162,-0.333463,-0.352357
-2.78903,-0.345307,-0.361947
-2.77644,-0.357096,-0.371504
-2.76384,-0.368829,-0.381026
-2.75125,-0.380503,-0.390513
-2.73866,-0.392117,-0.399964
-2.72607,-0.403669,-0.409379
-2.71348,-0.415157,-0.418755
-2.70089,-0.426578,-0.428092
-2.68829,-0.437933,-0.43739
-2.6757,-0.449218,-0.446648
-2.66311,-0.460431,-0.455864
-2.65052,-0.471572,-0.465038
-2.63793,-0.482638,-0.474168
-2.62534,-0.493628,-0.483255
-2.61275,-0.504539,-0.492296
-2.60015,-0.51537,-0.501291
-2.58756,-0.526119,-0.510239
-2.57497,-0.536785,-0.519139
-2.56238,-0.547366,-0.527991
-2.54979,-0.55786,-0.536792
-2.5372,-0.568266,-0.545542
-2.5246,-0.578581,-0.554241
-2.51201,-0.588805,-0.562885
-2.49942,-0.598936,-0.571477
-2.48683,-0.608971,-0.580014
-2.47424,-0.61891,-0.588495
-2.46165,-0.628751,-0.596918
-2.44906,-0.638492,-0.605283
-2.43646,-0.648132,-0.613589
-2.42387,-0.657669,-0.621835
-2.41128,-0.667102,-0.630019
-2.39869,-0.676429,-0.638141
-2.3861,-0.685649,-0.6462
-2.37351,-0.69476,-0.654194
-2.36091,-0.703761,-0.662122
-2.34832,-0.712651,-0.669984
-2.33573,-0.721427,-0.677777
-2.32314,-0.73009,-0.685502
-2.31055,-0.738636,-0.693156
-2.29796,-0.747065,-0.700739
-2.28537,-0.755376,-0.70825
-2.27277,-0.763567,-0.715687
-2.26018,-0.771637,-0.723049
-2.24759,-0.779584,-0.730335
-2.235,-0.787409,-0.737545
-2.22241,-0.795108,-0.744675
-2.20982,-0.802681,-0.751727
-2.19722,-0.810127,-0.758698
-2.18463,-0.817444,-0.765587
-2.17204,-0.824632,-0.772392
-2.15945,-0.831689,-0.779115
-2.14686,-0.838614,-0.785751
-2.13427,-0.845407,-0.7923
-2.12168,-0.852065,-0.798762
-2.10908,-0.858588,-0.805134
-2.09649,-0.864975,-0.811416
-2.0839,-0.871225,-0.817607
-2.07131,-0.877337,-0.823705
-2.05872,-0.883309,-0.829708
-2.04613,-0.889142,-0.835617
-2.03353,-0.894834,-0.841429
-2.02094,-0.900383,-0.847143
-2.00835,-0.905791,-0.852758
-1.99576,-0.911054,-0.858273
-1.98317,-0.916173,-0.863687
-1.97058,-0.921147,-0.868997
-1.95799,-0.925974,-0.874204
-1.94539,-0.930655,-0.879305
-1.9328,-0.935188,-0.8843
-1.92021,-0.939573,-0.889187
-1.90762,-0.94381,-0.893965
-1.89503,-0.947896,-0.898633
-1.88244,-0.951832,-0.903189
-1.86984,-0.955617,-0.907632
-1.85725,-0.959251,-0.911962
-1.84466,-0.962733,-0.916175
-1.83207,-0.966062,-0.920273
-1.81948,-0.969238,-0.924252
-1.80689,-0.97226,-0.928113
-1.7943,-0.975128,-0.931853
-1.7817,-0.977841,-0.935472
-1.76911,-0.9804,-0.938969
-1.75652,-0.982803,-0.942341
-1.74393,-0.98505,-0.945588
-1.73134,-0.987141,-0.948709
-1.71875,-0.989075,-0.951702
-1.70615,-0.990853,-0.954567
-1.69356,-0.992474,-0.957301
-1.68097,-0.993937,-0.959905
-1.66838,-0.995243,-0.962376
-1.65579,-0.99639,-0.964714
-1.6432,-0.99738,-0.966917
-1.6306,-0.998212,-0.968985
-1.61801,-0.998886,-0.970915
-1.60542,-0.999401,-0.972708
-1.59283,-0.999757,-0.974362
-1.58024,-0.999955,-0.975876
-1.56765,-0.999995,-0.977248
-1.55506,-0.999876,-0.978478
-1.54246,-0.999599,-0.979565
-1.52987,-0.999163,-0.980507
-1.51728,-0.998568,-0.981304
-1.50469,-0.997816,-0.981955
-1.4921,-0.996905,-0.982458
-1.47951,-0.995836,-0.982813
-1.46691,-0.994609,-0.983019
-1.45432,-0.993225,-0.983074
-1.44173,-0.991683,-0.982979
-1.42914,-0.989983,-0.982731
-1.41655,-0.988127,-0.982331
-1.40396,-0.986115,-0.981777
-1.39137,-0.983945,-0.981068
-1.37877,-0.98162,-0.980204
-1.36618,-0.97914,-0.979183
-1.35359,-0.976503,-0.978006
-1.341,-0.973713,-0.976672
-1.32841,-0.970767,-0.975179
-1.31582,-0.967668,-0.973527
-1.30322,-0.964416,-0.971716
-1.29063,-0.96101,-0.969744
-1.27804,-0.957453,-0.967612
-1.26545,-0.953743,-0.965318
-1.25286,-0.949882,-0.962863
-1.24027,-0.945871,-0.960244
-1.22768,-0.941709,-0.957464
-1.21508,-0.937399,-0.954519
-1.20249,-0.932939,-0.951411
-1.1899,-0.928332,-0.94814
-1.17731,-0.923578,-0.944703
-1.16472,-0.918677,-0.941103
-1.15213,-0.91363,-0.937337
-1.13953,-0.908439,-0.933406
-1.12694,-0.903104,-0.929309
-1.11435,-0.897625,-0.925048
-1.10176,-0.892004,-0.92062
-1.08917,-0.886242,-0.916027
-1.07658,-0.880339,-0.911268
-1.06399,-0.874297,-0.906343
-1.05139,-0.868116,-0.901253
-1.0388,-0.861797,-0.895998
-1.02621,-0.855342,-0.890577
-1.01362,-0.848751,-0.88499
-1.00103,-0.842026,-0.879239
-0.988436,-0.835167,-0.873323
-0.975845,-0.828176,-0.867242
-0.963253,-0.821053,-0.860997
-0.950662,-0.8138,-0.854589
