Loss,Epochs,How may saturated
0.0499958,23053,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.0908484
-3.129,-0.0125936,-0.10059
-3.11641,-0.0251831,-0.110332
-3.10382,-0.0377681,-0.120071
-3.09122,-0.0503474,-0.129809
-3.07863,-0.0629187,-0.139544
-3.06604,-0.0754798,-0.149275
-3.05345,-0.0880292,-0.159002
-3.04086,-0.100565,-0.168723
-3.02827,-0.113084,-0.178438
-3.01567,-0.125586,-0.188146
-3.00308,-0.138067,-0.197846
-2.99049,-0.150527,-0.207537
-2.9779,-0.162963,-0.217219
-2.96531,-0.175373,-0.22689
-2.95272,-0.187755,-0.236549
-2.94013,-0.200107,-0.246196
-2.92753,-0.212428,-0.25583
-2.91494,-0.224715,-0.265449
-2.90235,-0.236966,-0.275054
-2.88976,-0.24918,-0.284642
-2.87717,-0.261354,-0.294214
-2.86458,-0.273487,-0.303767
-2.85198,-0.285576,-0.3133
-2.83939,-0.297621,-0.322815
-2.8268,-0.309618,-0.332308
-2.81421,-0.321566,-0.34178
-2.80162,-0.333463,-0.351228
-2.78903,-0.345307,-0.360652
-2.77644,-0.357096,-0.370051
-2.76384,-0.368829,-0.379424
-2.75125,-0.380503,-0.38877
-2.73866,-0.392117,-0.398087
-2.72607,-0.403669,-0.407377
-2.71348,-0.415157,-0.416635
-2.70089,-0.426578,-0.425862
-2.68829,-0.437933,-0.435057
-2.6757,-0.449218,-0.444218
-2.66311,-0.460431,-0.453344
-2.65052,-0.471572,-0.462435
-2.63793,-0.482638,-0.471489
-2.62534,-0.493628,-0.480505
-2.61275,-0.504539,-0.489481
-2.60015,-0.51537,-0.498418
-2.58756,-0.526119,-0.507313
-2.57497,-0.536785,-0.516166
-2.56238,-0.547366,-0.524975
-2.54979,-0.55786,-0.533739
-2.5372,-0.568266,-0.542458
-2.5246,-0.578581,-0.551129
-2.51201,-0.588805,-0.559752
-2.49942,-0.598936,-0.568325
-2.48683,-0.608971,-0.576849
-2.47424,-0.61891,-0.585319
