Loss,Epochs,How may saturated
0.0499982,8316,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.117914
-3.129,-0.0125936,-0.126451
-3.11641,-0.0251831,-0.13499
-3.10382,-0.0377681,-0.143529
-3.09122,-0.0503474,-0.152069
-3.07863,-0.0629187,-0.160609
-3.06604,-0.0754798,-0.169148
-3.05345,-0.0880292,-0.177686
-3.04086,-0.100565,-0.186222
-3.02827,-0.113084,-0.194757
-3.01567,-0.125586,-0.203289
-3.00308,-0.138067,-0.211817
-2.99049,-0.150527,-0.220342
-2.9779,-0.162963,-0.228863
-2.96531,-0.175373,-0.237379
-2.95272,-0.187755,-0.24589
-2.94013,-0.200107,-0.254396
-2.92753,-0.212428,-0.262895
-2.91494,-0.224715,-0.271387
-2.90235,-0.236966,-0.279872
-2.88976,-0.24918,-0.288349
-2.87717,-0.261354,-0.296817
-2.86458,-0.273487,-0.305277
-2.85198,-0.285576,-0.313725
-2.83939,-0.297621,-0.322164
-2.8268,-0.309618,-0.330591
-2.81421,-0.321566,-0.339008
-2.80162,-0.333463,-0.347411
-2.78903,-0.345307,-0.355801
-2.77644,-0.357096,-0.364178
-2.76384,-0.368829,-0.37254
-2.75125,-0.380503,-0.380887
-2.73866,-0.392117,-0.389219
-2.72607,-0.403669,-0.397533
-2.71348,-0.415157,-0.405831
-2.70089,-0.426578,-0.41411
-2.68829,-0.437933,-0.422372
-2.6757,-0.449218,-0.430613
-2.66311,-0.460431,-0.438834
-2.65052,-0.471572,-0.447035
-2.63793,-0.482638,-0.455213
-2.62534,-0.493628,-0.46337
-2.61275,-0.504539,-0.471502
-2.60015,-0.51537,-0.47961
-2.58756,-0.526119,-0.487694
-2.57497,-0.536785,-0.495751
-2.56238,-0.547366,-0.503782
-2.54979,-0.55786,-0.511785
-2.5372,-0.568266,-0.51976
-2.5246,-0.578581,-0.527705
-2.51201,-0.588805,-0.53562
-2.49942,-0.598936,-0.543504
-2.48683,-0.608971,-0.551356
-2.47424,-0.61891,-0.559175
-2.46165,-0.628751,-0.56696
-2.44906,-0.638492,-0.57471
-2.43646,-0.648132,-0.582424
-2.42387,-0.657669,-0.590101
-2.41128,-0.667102,-0.597741
-2.39869,-0.676429,-0.605341
-2.3861,-0.685649,-0.612902
-2.37351,-0.69476,-0.620421
-2.36091,-0.703761,-0.627899
-2.34832,-0.712651,-0.635334
-2.33573,-0.721427,-0.642724
-2.32314,-0.73009,-0.65007
-2.31055,-0.738636,-0.657369
-2.29796,-0.747065,-0.664621
-2.28537,-0.755376,-0.671824
-2.27277,-0.763567,-0.678978
-2.26018,-0.771637,-0.686081
-2.24759,-0.779584,-0.693132
-2.235,-0.787409,-0.70013
-2.22241,-0.795108,-0.707073
-2.20982,-0.802681,-0.713961
-2.19722,-0.810127,-0.720793
-2.18463,-0.817444,-0.727567
-2.17204,-0.824632,-0.734281
-2.15945,-0.831689,-0.740935
-2.14686,-0.838614,-0.747528
-2.13427,-0.845407,-0.754058
-2.12168,-0.852065,-0.760523
-2.10908,-0.858588,-0.766923
-2.09649,-0.864975,-0.773257
-2.0839,-0.871225,-0.779522
-2.07131,-0.877337,-0.785718
-2.05872,-0.883309,-0.791843
-2.04613,-0.889142,-0.797896
-2.03353,-0.894834,-0.803876
-2.02094,-0.900383,-0.809781
-2.00835,-0.905791,-0.81561
-1.99576,-0.911054,-0.821361
-1.98317,-0.916173,-0.827033
-1.97058,-0.921147,-0.832625
-1.95799,-0.925974,-0.838134
-1.94539,-0.930655,-0.843561
-1.9328,-0.935188,-0.848902
-1.92021,-0.939573,-0.854158
-1.90762,-0.94381,-0.859326
-1.89503,-0.947896,-0.864405
-1.88244,-0.951832,-0.869393
-1.86984,-0.955617,-0.874289
-1.85725,-0.959251,-0.879092
-1.84466,-0.962733,-0.8838
-1.83207,-0.966062,-0.88841
-1.81948,-0.969238,-0.892923
-1.80689,-0.97226,-0.897336
-1.7943,-0.975128,-0.901648
-1.7817,-0.977841,-0.905857
-1.76911,-0.9804,-0.909961
-1.75652,-0.982803,-0.91396
-1.74393,-0.98505,-0.917851
-1.73134,-0.987141,-0.921633
-1.71875,-0.989075,-0.925305
-1.70615,-0.990853,-0.928865
-1.69356,-0.992474,-0.932311
-1.68097,-0.993937,-0.935641
-1.66838,-0.995243,-0.938855
-1.65579,-0.99639,-0.94195
-1.6432,-0.99738,-0.944925
-1.6306,-0.998212,-0.947778
-1.61801,-0.998886,-0.950508
-1.60542,-0.999401,-0.953113
-1.59283,-0.999757,-0.955592
-1.58024,-0.999955,-0.957943
-1.56765,-0.999995,-0.960164
-1.55506,-0.999876,-0.962254
-1.54246,-0.999599,-0.964211
-1.52987,-0.999163,-0.966034
-1.51728,-0.998568,-0.967722
-1.50469,-0.997816,-0.969271
-1.4921,-0.996905,-0.970682
-1.47951,-0.995836,-0.971952
-1.46691,-0.994609,-0.97308
-1.45432,-0.993225,-0.974065
-1.44173,-0.991683,-0.974904
-1.42914,-0.989983,-0.975597
-1.41655,-0.988127,-0.976142
-1.40396,-0.986115,-0.976537
-1.39137,-0.983945,-0.976781
-1.37877,-0.98162,-0.976873
-1.36618,-0.97914,-0.976811
-1.35359,-0.976503,-0.976594
-1.341,-0.973713,-0.97622
-1.32841,-0.970767,-0.975688
-1.31582,-0.967668,-0.974996
-1.30322,-0.964416,-0.974144
-1.29063,-0.96101,-0.973129
-1.27804,-0.957453,-0.971952
-1.26545,-0.953743,-0.97061
-1.25286,-0.949882,-0.969102
-1.24027,-0.945871,-0.967427
-1.22768,-0.941709,-0.965584
-1.21508,-0.937399,-0.963571
-1.20249,-0.932939,-0.961388
-1.1899,-0.928332,-0.959034
-1.17731,-0.923578,-0.956507
-1.16472,-0.918677,-0.953806
-1.15213,-0.91363,-0.950931
-1.13953,-0.908439,-0.94788
-1.12694,-0.903104,-0.944653
-1.11435,-0.897625,-0.941249
-1.10176,-0.892004,-0.937666
-1.08917,-0.886242,-0.933905
-1.07658,-0.880339,-0.929963
-1.06399,-0.874297,-0.925842
-1.05139,-0.868116,-0.92154
-1.0388,-0.861797,-0.917056
-1.02621,-0.855342,-0.91239
-1.01362,-0.848751,-0.907542
-1.00103,-0.842026,-0.902511
-0.988436,-0.835167,-0.897296
-0.975845,-0.828176,-0.891897
-0.963253,-0.821053,-0.886314
-0.950662,-0.8138,-0.880548
-0.93807,-0.806418,-0.874596
-0.925478,-0.798909,-0.868461
-0.912887,-0.791272,-0.86214
-0.900295,-0.783511,-0.855636
-0.887704,-0.775624,-0.848946
-0.875112,-0.767615,-0.842073
-0.862521,-0.759485,-0.835015
-0.849929,-0.751234,-0.827774
-0.837338,-0.742863,-0.820349
-0.824746,-0.734375,-0.812741
-0.812155,-0.725771,-0.80495
-0.799563,-0.717052,-0.796977
-0.786971,-0.708218,-0.788823
-0.77438,-0.699273,-0.780489
-0.761788,-0.690217,-0.771974
-0.749197,-0.681051,-0.76328
-0.736605,-0.671777,-0.754408
-0.724014,-0.662397,-0.745358
-0.711422,-0.652912,-0.736133
-0.698831,-0.643323,-0.726733
-0.686239,-0.633632,-0.717159
-0.673648,-0.623841,-0.707412
-0.661056,-0.613951,-0.697494
-0.648465,-0.603963,-0.687406
-0.635873,-0.59388,-0.677151
-0.623281,-0.583703,-0.666729
-0.61069,-0.573433,-0.656142
-0.598098,-0.563072,-0.645392
-0.585507,-0.552622,-0.63448
-0.572915,-0.542084,-0.62341
-0.560324,-0.53146,-0.612182
-0.547732,-0.520752,-0.600799
-0.535141,-0.509962,-0.589263
-0.522549,-0.499091,-0.577576
-0.509958,-0.48814,-0.565741
-0.497366,-0.477112,-0.55376
-0.484774,-0.466009,-0.541635
-0.472183,-0.454831,-0.529369
-0.459591,-0.443582,-0.516965
-0.447,-0.432262,-0.504425
-0.434408,-0.420874,-0.491752
-0.421817,-0.409419,-0.478949
-0.409225,-0.397899,-0.466018
-0.396634,-0.386316,-0.452964
-0.384042,-0.374671,-0.439789
-0.371451,-0.362967,-0.426495
-0.358859,-0.351206,-0.413087
-0.346267,-0.339389,-0.399568
-0.333676,-0.327518,-0.38594
-0.321084,-0.315596,-0.372207
-0.308493,-0.303623,-0.358373
-0.295901,-0.291602,-0.344442
-0.28331,-0.279535,-0.330416
-0.270718,-0.267424,-0.3163
-0.258127,-0.25527,-0.302096
-0.245535,-0.243075,-0.28781
-0.232944,-0.230843,-0.273444
-0.220352,-0.218573,-0.259003
-0.20776,-0.206269,-0.244489
-0.195169,-0.193932,-0.229909
-0.182577,-0.181565,-0.215265
-0.169986,-0.169168,-0.20056
-0.157394,-0.156745,-0.1858
-0.144803,-0.144297,-0.170989
-0.132211,-0.131826,-0.15613
-0.11962,-0.119335,-0.141227
-0.107028,-0.106824,-0.126286
-0.0944365,-0.0942962,-0.111309
-0.0818451,-0.0817537,-0.0963022
-0.0692534,-0.0691981,-0.081268
-0.0566619,-0.0566316,-0.0662119
-0.0440705,-0.0440562,-0.0511375
-0.0314788,-0.0314736,-0.0360494
-0.0188873,-0.0188862,-0.0209523
-0.00629583,-0.00629579,-0.00584983
0.00629583,0.00629579,0.00925415
0.0188875,0.0188864,0.0243545
0.0314788,0.0314736,0.0394467
0.0440705,0.0440562,0.0545273
0.0566621,0.0566318,0.0695916
0.0692534,0.0691981,0.0846352
0.0818451,0.0817537,0.0996541
0.0944367,0.0942964,0.114644
