x,y
-1.73205,-2.53518e-06
-1.67431,-0.104531
-1.61658,-0.207914
-1.55885,-0.309019
-1.50111,-0.406739
-1.44338,-0.500002
-1.38564,-0.587787
-1.32791,-0.669132
-1.27017,-0.743146
-1.21244,-0.809018
-1.1547,-0.866026
-1.09697,-0.913546
-1.03923,-0.951057
-0.981495,-0.978148
-0.92376,-0.994522
-0.866025,-1
-0.80829,-0.994522
-0.750555,-0.978148
-0.69282,-0.951056
-0.635085,-0.913545
-0.57735,-0.866025
-0.519615,-0.809017
-0.46188,-0.743145
-0.404145,-0.669131
-0.34641,-0.587785
-0.288675,-0.5
-0.23094,-0.406737
-0.173205,-0.309018
-0.11547,-0.207912
-0.0577354,-0.104529
-4.43634e-07,-8.04663e-07
0.0577346,0.104528
0.11547,0.207911
0.173205,0.309016
0.23094,0.406736
0.288675,0.499999
0.34641,0.587784
0.404145,0.66913
0.46188,0.743144
0.519615,0.809016
0.577349,0.866025
0.635084,0.913545
0.692819,0.951056
0.750554,0.978147
0.808289,0.994522
0.866024,1
0.923759,0.994522
0.981494,0.978148
1.03923,0.951057
1.09696,0.913547
1.1547,0.866027
1.21243,0.809019
1.27017,0.743147
1.3279,0.669133
1.38564,0.587788
1.44337,0.500003
1.50111,0.40674
1.55884,0.30902
1.61658,0.207915
1.67431,0.104532
1.73205,2.53518e-06
