Loss,Epochs,How may saturated
0.0499999,5132,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.161171
-3.129,-0.0125936,-0.169574
-3.11641,-0.0251831,-0.177983
-3.10382,-0.0377681,-0.186398
-3.09122,-0.0503474,-0.19482
-3.07863,-0.0629187,-0.203246
-3.06604,-0.0754798,-0.211677
-3.05345,-0.0880292,-0.220112
-3.04086,-0.100565,-0.228551
-3.02827,-0.113084,-0.236993
-3.01567,-0.125586,-0.245438
-3.00308,-0.138067,-0.253884
-2.99049,-0.150527,-0.262333
-2.9779,-0.162963,-0.270782
-2.96531,-0.175373,-0.279233
-2.95272,-0.187755,-0.287683
-2.94013,-0.200107,-0.296133
-2.92753,-0.212428,-0.304581
-2.91494,-0.224715,-0.313027
-2.90235,-0.236966,-0.321472
-2.88976,-0.24918,-0.329913
-2.87717,-0.261354,-0.33835
-2.86458,-0.273487,-0.346783
-2.85198,-0.285576,-0.355211
-2.83939,-0.297621,-0.363634
-2.8268,-0.309618,-0.37205
-2.81421,-0.321566,-0.380459
-2.80162,-0.333463,-0.388861
-2.78903,-0.345307,-0.397254
-2.77644,-0.357096,-0.405638
-2.76384,-0.368829,-0.414011
-2.75125,-0.380503,-0.422375
-2.73866,-0.392117,-0.430726
-2.72607,-0.403669,-0.439066
-2.71348,-0.415157,-0.447392
-2.70089,-0.426578,-0.455704
-2.68829,-0.437933,-0.464002
-2.6757,-0.449218,-0.472284
-2.66311,-0.460431,-0.48055
-2.65052,-0.471572,-0.488798
-2.63793,-0.482638,-0.497028
-2.62534,-0.493628,-0.50524
-2.61275,-0.504539,-0.51343
-2.60015,-0.51537,-0.521601
-2.58756,-0.526119,-0.529749
-2.57497,-0.536785,-0.537874
-2.56238,-0.547366,-0.545976
-2.54979,-0.55786,-0.554052
-2.5372,-0.568266,-0.562102
-2.5246,-0.578581,-0.570126
-2.51201,-0.588805,-0.578122
-2.49942,-0.598936,-0.586088
-2.48683,-0.608971,-0.594024
-2.47424,-0.61891,-0.60193
-2.46165,-0.628751,-0.609802
-2.44906,-0.638492,-0.617642
-2.43646,-0.648132,-0.625446
-2.42387,-0.657669,-0.633215
-2.41128,-0.667102,-0.640947
-2.39869,-0.676429,-0.64864
-2.3861,-0.685649,-0.656294
-2.37351,-0.69476,-0.663907
-2.36091,-0.703761,-0.671478
-2.34832,-0.712651,-0.679006
-2.33573,-0.721427,-0.686489
-2.32314,-0.73009,-0.693927
-2.31055,-0.738636,-0.701316
-2.29796,-0.747065,-0.708658
-2.28537,-0.755376,-0.715949
-2.27277,-0.763567,-0.723189
-2.26018,-0.771637,-0.730376
-2.24759,-0.779584,-0.737508
-2.235,-0.787409,-0.744586
-2.22241,-0.795108,-0.751605
-2.20982,-0.802681,-0.758566
-2.19722,-0.810127,-0.765466
-2.18463,-0.817444,-0.772305
-2.17204,-0.824632,-0.77908
-2.15945,-0.831689,-0.785791
-2.14686,-0.838614,-0.792434
-2.13427,-0.845407,-0.79901
-2.12168,-0.852065,-0.805515
-2.10908,-0.858588,-0.811949
-2.09649,-0.864975,-0.81831
-2.0839,-0.871225,-0.824596
-2.07131,-0.877337,-0.830805
-2.05872,-0.883309,-0.836936
-2.04613,-0.889142,-0.842987
-2.03353,-0.894834,-0.848956
-2.02094,-0.900383,-0.854841
-2.00835,-0.905791,-0.86064
-1.99576,-0.911054,-0.866352
-1.98317,-0.916173,-0.871975
-1.97058,-0.921147,-0.877507
-1.95799,-0.925974,-0.882945
-1.94539,-0.930655,-0.888289
-1.9328,-0.935188,-0.893536
-1.92021,-0.939573,-0.898684
-1.90762,-0.94381,-0.903731
-1.89503,-0.947896,-0.908675
-1.88244,-0.951832,-0.913515
-1.86984,-0.955617,-0.918247
-1.85725,-0.959251,-0.922871
-1.84466,-0.962733,-0.927384
-1.83207,-0.966062,-0.931785
-1.81948,-0.969238,-0.93607
-1.80689,-0.97226,-0.940238
-1.7943,-0.975128,-0.944287
-1.7817,-0.977841,-0.948215
-1.76911,-0.9804,-0.952019
-1.75652,-0.982803,-0.955698
-1.74393,-0.98505,-0.95925
-1.73134,-0.987141,-0.962672
-1.71875,-0.989075,-0.965961
-1.70615,-0.990853,-0.969117
-1.69356,-0.992474,-0.972137
-1.68097,-0.993937,-0.975018
-1.66838,-0.995243,-0.977759
-1.65579,-0.99639,-0.980357
-1.6432,-0.99738,-0.982811
-1.6306,-0.998212,-0.985117
-1.61801,-0.998886,-0.987275
-1.60542,-0.999401,-0.989281
-1.59283,-0.999757,-0.991134
-1.58024,-0.999955,-0.992832
-1.56765,-0.999995,-0.994372
-1.55506,-0.999876,-0.995752
-1.54246,-0.999599,-0.996971
-1.52987,-0.999163,-0.998026
-1.51728,-0.998568,-0.998915
-1.50469,-0.997816,-0.999636
-1.4921,-0.996905,-1.00019
-1.47951,-0.995836,-1.00057
-1.46691,-0.994609,-1.00077
-1.45432,-0.993225,-1.0008
-1.44173,-0.991683,-1.00065
-1.42914,-0.989983,-1.00033
-1.41655,-0.988127,-0.999819
-1.40396,-0.986115,-0.999127
-1.39137,-0.983945,-0.998251
-1.37877,-0.98162,-0.997188
-1.36618,-0.97914,-0.995937
-1.35359,-0.976503,-0.994496
-1.341,-0.973713,-0.992864
-1.32841,-0.970767,-0.991039
-1.31582,-0.967668,-0.98902
-1.30322,-0.964416,-0.986806
-1.29063,-0.96101,-0.984395
-1.27804,-0.957453,-0.981786
-1.26545,-0.953743,-0.978977
-1.25286,-0.949882,-0.975969
-1.24027,-0.945871,-0.97276
-1.22768,-0.941709,-0.969348
-1.21508,-0.937399,-0.965733
-1.20249,-0.932939,-0.961916
-1.1899,-0.928332,-0.957894
-1.17731,-0.923578,-0.953667
-1.16472,-0.918677,-0.949236
-1.15213,-0.91363,-0.944599
-1.13953,-0.908439,-0.939756
-1.12694,-0.903104,-0.934709
-1.11435,-0.897625,-0.929456
-1.10176,-0.892004,-0.923997
-1.08917,-0.886242,-0.918333
-1.07658,-0.880339,-0.912465
-1.06399,-0.874297,-0.906394
-1.05139,-0.868116,-0.900119
-1.0388,-0.861797,-0.893641
-1.02621,-0.855342,-0.886963
-1.01362,-0.848751,-0.880084
-1.00103,-0.842026,-0.873007
-0.988436,-0.835167,-0.865732
-0.975845,-0.828176,-0.858262
-0.963253,-0.821053,-0.850597
-0.950662,-0.8138,-0.842741
-0.93807,-0.806418,-0.834695
-0.925478,-0.798909,-0.826461
-0.912887,-0.791272,-0.818043
-0.900295,-0.783511,-0.809442
-0.887704,-0.775624,-0.800661
-0.875112,-0.767615,-0.791704
-0.862521,-0.759485,-0.782573
-0.849929,-0.751234,-0.773272
-0.837338,-0.742863,-0.763804
-0.824746,-0.734375,-0.754173
-0.812155,-0.725771,-0.744384
-0.799563,-0.717052,-0.734439
-0.786971,-0.708218,-0.724342
-0.77438,-0.699273,-0.714099
-0.761788,-0.690217,-0.703714
-0.749197,-0.681051,-0.693192
-0.736605,-0.671777,-0.682536
-0.724014,-0.662397,-0.671753
-0.711422,-0.652912,-0.660846
-0.698831,-0.643323,-0.649822
-0.686239,-0.633632,-0.638685
-0.673648,-0.623841,-0.627441
-0.661056,-0.613951,-0.616096
-0.648465,-0.603963,-0.604655
-0.635873,-0.59388,-0.593123
-0.623281,-0.583703,-0.581508
-0.61069,-0.573433,-0.569813
-0.598098,-0.563072,-0.558046
-0.585507,-0.552622,-0.546211
-0.572915,-0.542084,-0.534315
-0.560324,-0.53146,-0.522364
-0.547732,-0.520752,-0.510364
-0.535141,-0.509962,-0.498321
-0.522549,-0.499091,-0.48624
-0.509958,-0.48814,-0.474127
-0.497366,-0.477112,-0.461988
-0.484774,-0.466009,-0.449828
-0.472183,-0.454831,-0.437654
-0.459591,-0.443582,-0.425469
-0.447,-0.432262,-0.41328
-0.434408,-0.420874,-0.401092
-0.421817,-0.409419,-0.388909
-0.409225,-0.397899,-0.376736
-0.396634,-0.386316,-0.364577
-0.384042,-0.374671,-0.352437
-0.371451,-0.362967,-0.34032
-0.358859,-0.351206,-0.328229
-0.346267,-0.339389,-0.316168
-0.333676,-0.327518,-0.30414
-0.321084,-0.315596,-0.292147
-0.308493,-0.303623,-0.280193
-0.295901,-0.291602,-0.268279
-0.28331,-0.279535,-0.256408
-0.270718,-0.267424,-0.244581
-0.258127,-0.25527,-0.232799
-0.245535,-0.243075,-0.221063
-0.232944,-0.230843,-0.209373
-0.220352,-0.218573,-0.19773
-0.20776,-0.206269,-0.186133
-0.195169,-0.193932,-0.174583
-0.182577,-0.181565,-0.163077
-0.169986,-0.169168,-0.151615
-0.157394,-0.156745,-0.140196
-0.144803,-0.144297,-0.128818
-0.132211,-0.131826,-0.117478
-0.11962,-0.119335,-0.106174
-0.107028,-0.106824,-0.0949035
-0.0944365,-0.0942962,-0.0836639
-0.0818451,-0.0817537,-0.072452
-0.0692534,-0.0691981,-0.0612642
-0.0566619,-0.0566316,-0.0500975
-0.0440705,-0.0440562,-0.0389481
-0.0314788,-0.0314736,-0.0278121
-0.0188873,-0.0188862,-0.0166861
-0.00629583,-0.00629579,-0.00556588
0.00629583,0.00629579,0.00555249
0.0188875,0.0188864,0.0166728
0.0314788,0.0314736,0.0277988
0.0440705,0.0440562,0.0389348
0.0566621,0.0566318,0.0500844
0.0692534,0.0691981,0.061251
0.0818451,0.0817537,0.0724388
