Loss,Epochs,How may saturated
0.0499926,4617,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.108087
-3.129,-0.0125936,-0.117031
-3.11641,-0.0251831,-0.125982
-3.10382,-0.0377681,-0.134937
-3.09122,-0.0503474,-0.143898
-3.07863,-0.0629187,-0.152864
-3.06604,-0.0754798,-0.161834
-3.05345,-0.0880292,-0.170808
-3.04086,-0.100565,-0.179785
-3.02827,-0.113084,-0.188764
-3.01567,-0.125586,-0.197746
-3.00308,-0.138067,-0.20673
-2.99049,-0.150527,-0.215714
-2.9779,-0.162963,-0.224699
-2.96531,-0.175373,-0.233684
-2.95272,-0.187755,-0.242668
-2.94013,-0.200107,-0.25165
-2.92753,-0.212428,-0.260631
-2.91494,-0.224715,-0.269609
-2.90235,-0.236966,-0.278585
-2.88976,-0.24918,-0.287556
-2.87717,-0.261354,-0.296523
-2.86458,-0.273487,-0.305485
-2.85198,-0.285576,-0.314441
-2.83939,-0.297621,-0.32339
-2.8268,-0.309618,-0.332332
-2.81421,-0.321566,-0.341267
-2.80162,-0.333463,-0.350192
-2.78903,-0.345307,-0.359108
-2.77644,-0.357096,-0.368014
-2.76384,-0.368829,-0.376909
-2.75125,-0.380503,-0.385792
-2.73866,-0.392117,-0.394663
-2.72607,-0.403669,-0.40352
-2.71348,-0.415157,-0.412363
-2.70089,-0.426578,-0.421191
-2.68829,-0.437933,-0.430004
-2.6757,-0.449218,-0.438799
-2.66311,-0.460431,-0.447577
-2.65052,-0.471572,-0.456336
-2.63793,-0.482638,-0.465075
-2.62534,-0.493628,-0.473795
-2.61275,-0.504539,-0.482492
-2.60015,-0.51537,-0.491168
-2.58756,-0.526119,-0.49982
-2.57497,-0.536785,-0.508447
-2.56238,-0.547366,-0.51705
-2.54979,-0.55786,-0.525626
-2.5372,-0.568266,-0.534174
-2.5246,-0.578581,-0.542694
-2.51201,-0.588805,-0.551185
-2.49942,-0.598936,-0.559645
-2.48683,-0.608971,-0.568072
-2.47424,-0.61891,-0.576468
-2.46165,-0.628751,-0.584828
-2.44906,-0.638492,-0.593154
-2.43646,-0.648132,-0.601443
-2.42387,-0.657669,-0.609694
-2.41128,-0.667102,-0.617907
-2.39869,-0.676429,-0.626079
-2.3861,-0.685649,-0.63421
-2.37351,-0.69476,-0.642298
-2.36091,-0.703761,-0.650342
-2.34832,-0.712651,-0.658341
-2.33573,-0.721427,-0.666293
-2.32314,-0.73009,-0.674197
-2.31055,-0.738636,-0.682051
-2.29796,-0.747065,-0.689855
-2.28537,-0.755376,-0.697606
-2.27277,-0.763567,-0.705304
-2.26018,-0.771637,-0.712946
-2.24759,-0.779584,-0.720532
-2.235,-0.787409,-0.72806
-2.22241,-0.795108,-0.735528
-2.20982,-0.802681,-0.742934
-2.19722,-0.810127,-0.750279
-2.18463,-0.817444,-0.757558
-2.17204,-0.824632,-0.764771
-2.15945,-0.831689,-0.771917
-2.14686,-0.838614,-0.778994
-2.13427,-0.845407,-0.785999
-2.12168,-0.852065,-0.792932
-2.10908,-0.858588,-0.799791
-2.09649,-0.864975,-0.806573
-2.0839,-0.871225,-0.813278
-2.07131,-0.877337,-0.819903
-2.05872,-0.883309,-0.826446
-2.04613,-0.889142,-0.832907
-2.03353,-0.894834,-0.839282
-2.02094,-0.900383,-0.84557
-2.00835,-0.905791,-0.85177
-1.99576,-0.911054,-0.857879
