Loss,Epochs,How may saturated
0.0498997,1786,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.117551
-3.129,-0.0125936,-0.126842
-3.11641,-0.0251831,-0.136187
-3.10382,-0.0377681,-0.145583
-3.09122,-0.0503474,-0.155031
-3.07863,-0.0629187,-0.164529
-3.06604,-0.0754798,-0.174076
-3.05345,-0.0880292,-0.18367
-3.04086,-0.100565,-0.193312
-3.02827,-0.113084,-0.202998
-3.01567,-0.125586,-0.212727
-3.00308,-0.138067,-0.222499
-2.99049,-0.150527,-0.232312
-2.9779,-0.162963,-0.242164
-2.96531,-0.175373,-0.252054
-2.95272,-0.187755,-0.261979
-2.94013,-0.200107,-0.271938
-2.92753,-0.212428,-0.28193
-2.91494,-0.224715,-0.291952
-2.90235,-0.236966,-0.302004
-2.88976,-0.24918,-0.312082
-2.87717,-0.261354,-0.322185
-2.86458,-0.273487,-0.33231
-2.85198,-0.285576,-0.342456
-2.83939,-0.297621,-0.35262
-2.8268,-0.309618,-0.362801
-2.81421,-0.321566,-0.372996
-2.80162,-0.333463,-0.383202
-2.78903,-0.345307,-0.393418
-2.77644,-0.357096,-0.403641
-2.76384,-0.368829,-0.413867
-2.75125,-0.380503,-0.424097
-2.73866,-0.392117,-0.434325
-2.72607,-0.403669,-0.444551
-2.71348,-0.415157,-0.45477
-2.70089,-0.426578,-0.464981
-2.68829,-0.437933,-0.475181
-2.6757,-0.449218,-0.485366
-2.66311,-0.460431,-0.495535
-2.65052,-0.471572,-0.505684
-2.63793,-0.482638,-0.515812
-2.62534,-0.493628,-0.525914
-2.61275,-0.504539,-0.535987
-2.60015,-0.51537,-0.546029
-2.58756,-0.526119,-0.556037
-2.57497,-0.536785,-0.566009
-2.56238,-0.547366,-0.57594
-2.54979,-0.55786,-0.585828
-2.5372,-0.568266,-0.59567
-2.5246,-0.578581,-0.605463
-2.51201,-0.588805,-0.615204
-2.49942,-0.598936,-0.62489
-2.48683,-0.608971,-0.634518
-2.47424,-0.61891,-0.644084
-2.46165,-0.628751,-0.653587
-2.44906,-0.638492,-0.663022
-2.43646,-0.648132,-0.672387
-2.42387,-0.657669,-0.681678
-2.41128,-0.667102,-0.690894
-2.39869,-0.676429,-0.700031
-2.3861,-0.685649,-0.709085
-2.37351,-0.69476,-0.718055
-2.36091,-0.703761,-0.726937
-2.34832,-0.712651,-0.735728
-2.33573,-0.721427,-0.744426
-2.32314,-0.73009,-0.753029
-2.31055,-0.738636,-0.761532
-2.29796,-0.747065,-0.769933
-2.28537,-0.755376,-0.778231
-2.27277,-0.763567,-0.786422
-2.26018,-0.771637,-0.794504
-2.24759,-0.779584,-0.802475
-2.235,-0.787409,-0.810331
-2.22241,-0.795108,-0.818071
-2.20982,-0.802681,-0.825692
-2.19722,-0.810127,-0.833193
-2.18463,-0.817444,-0.84057
-2.17204,-0.824632,-0.847823
-2.15945,-0.831689,-0.854949
-2.14686,-0.838614,-0.861945
-2.13427,-0.845407,-0.868811
-2.12168,-0.852065,-0.875544
-2.10908,-0.858588,-0.882143
-2.09649,-0.864975,-0.888605
-2.0839,-0.871225,-0.89493
-2.07131,-0.877337,-0.901116
-2.05872,-0.883309,-0.907161
-2.04613,-0.889142,-0.913064
-2.03353,-0.894834,-0.918825
-2.02094,-0.900383,-0.92444
-2.00835,-0.905791,-0.92991
-1.99576,-0.911054,-0.935233
-1.98317,-0.916173,-0.940409
-1.97058,-0.921147,-0.945436
-1.95799,-0.925974,-0.950313
-1.94539,-0.930655,-0.955041
-1.9328,-0.935188,-0.959618
-1.92021,-0.939573,-0.964043
-1.90762,-0.94381,-0.968316
-1.89503,-0.947896,-0.972436
-1.88244,-0.951832,-0.976404
-1.86984,-0.955617,-0.980218
-1.85725,-0.959251,-0.983878
-1.84466,-0.962733,-0.987384
-1.83207,-0.966062,-0.990735
-1.81948,-0.969238,-0.993933
-1.80689,-0.97226,-0.996975
-1.7943,-0.975128,-0.999863
-1.7817,-0.977841,-1.0026
-1.76911,-0.9804,-1.00518
-1.75652,-0.982803,-1.0076
-1.74393,-0.98505,-1.00987
-1.73134,-0.987141,-1.01198
-1.71875,-0.989075,-1.01395
-1.70615,-0.990853,-1.01575
-1.69356,-0.992474,-1.01741
-1.68097,-0.993937,-1.01891
-1.66838,-0.995243,-1.02025
-1.65579,-0.99639,-1.02145
-1.6432,-0.99738,-1.02249
-1.6306,-0.998212,-1.02337
-1.61801,-0.998886,-1.02411
-1.60542,-0.999401,-1.0247
-1.59283,-0.999757,-1.02513
-1.58024,-0.999955,-1.02541
-1.56765,-0.999995,-1.02554
-1.55506,-0.999876,-1.02552
-1.54246,-0.999599,-1.02536
-1.52987,-0.999163,-1.02504
-1.51728,-0.998568,-1.02457
-1.50469,-0.997816,-1.02396
-1.4921,-0.996905,-1.02319
-1.47951,-0.995836,-1.02228
-1.46691,-0.994609,-1.02122
-1.45432,-0.993225,-1.02002
-1.44173,-0.991683,-1.01866
-1.42914,-0.989983,-1.01716
-1.41655,-0.988127,-1.01551
-1.40396,-0.986115,-1.01372
-1.39137,-0.983945,-1.01178
-1.37877,-0.98162,-1.0097
-1.36618,-0.97914,-1.00747
-1.35359,-0.976503,-1.00509
-1.341,-0.973713,-1.00258
-1.32841,-0.970767,-0.999911
-1.31582,-0.967668,-0.997102
-1.30322,-0.964416,-0.994148
-1.29063,-0.96101,-0.991051
-1.27804,-0.957453,-0.987809
-1.26545,-0.953743,-0.984423
-1.25286,-0.949882,-0.980894
-1.24027,-0.945871,-0.97722
-1.22768,-0.941709,-0.973403
-1.21508,-0.937399,-0.969442
-1.20249,-0.932939,-0.965337
-1.1899,-0.928332,-0.961088
-1.17731,-0.923578,-0.956695
-1.16472,-0.918677,-0.952159
-1.15213,-0.91363,-0.947479
-1.13953,-0.908439,-0.942655
-1.12694,-0.903104,-0.937687
-1.11435,-0.897625,-0.932575
-1.10176,-0.892004,-0.927319
-1.08917,-0.886242,-0.921918
-1.07658,-0.880339,-0.916374
-1.06399,-0.874297,-0.910684
-1.05139,-0.868116,-0.904851
-1.0388,-0.861797,-0.898872
-1.02621,-0.855342,-0.892748
-1.01362,-0.848751,-0.88648
-1.00103,-0.842026,-0.880066
-0.988436,-0.835167,-0.873507
-0.975845,-0.828176,-0.866801
-0.963253,-0.821053,-0.85995
-0.950662,-0.8138,-0.852953
-0.93807,-0.806418,-0.845811
-0.925478,-0.798909,-0.838521
-0.912887,-0.791272,-0.831084
-0.900295,-0.783511,-0.8235
-0.887704,-0.775624,-0.81577
-0.875112,-0.767615,-0.807892
-0.862521,-0.759485,-0.799866
-0.849929,-0.751234,-0.791692
-0.837338,-0.742863,-0.783369
-0.824746,-0.734375,-0.774898
-0.812155,-0.725771,-0.766278
-0.799563,-0.717052,-0.75751
-0.786971,-0.708218,-0.748591
-0.77438,-0.699273,-0.739523
-0.761788,-0.690217,-0.730305
-0.749197,-0.681051,-0.720937
-0.736605,-0.671777,-0.711419
-0.724014,-0.662397,-0.701749
-0.711422,-0.652912,-0.691929
-0.698831,-0.643323,-0.681957
-0.686239,-0.633632,-0.671835
-0.673648,-0.623841,-0.661561
-0.661056,-0.613951,-0.651137
-0.648465,-0.603963,-0.64056
-0.635873,-0.59388,-0.629834
-0.623281,-0.583703,-0.618956
-0.61069,-0.573433,-0.607928
-0.598098,-0.563072,-0.596751
-0.585507,-0.552622,-0.585425
-0.572915,-0.542084,-0.573951
-0.560324,-0.53146,-0.56233
-0.547732,-0.520752,-0.550564
-0.535141,-0.509962,-0.538654
-0.522549,-0.499091,-0.526603
-0.509958,-0.48814,-0.514413
-0.497366,-0.477112,-0.502088
-0.484774,-0.466009,-0.489629
-0.472183,-0.454831,-0.477042
-0.459591,-0.443582,-0.464331
-0.447,-0.432262,-0.451501
-0.434408,-0.420874,-0.438557
-0.421817,-0.409419,-0.425507
-0.409225,-0.397899,-0.412357
-0.396634,-0.386316,-0.399115
-0.384042,-0.374671,-0.38579
-0.371451,-0.362967,-0.372393
-0.358859,-0.351206,-0.358932
-0.346267,-0.339389,-0.34542
-0.333676,-0.327518,-0.331868
-0.321084,-0.315596,-0.31829
-0.308493,-0.303623,-0.3047
-0.295901,-0.291602,-0.291111
-0.28331,-0.279535,-0.277539
-0.270718,-0.267424,-0.263998
-0.258127,-0.25527,-0.250505
-0.245535,-0.243075,-0.237074
-0.232944,-0.230843,-0.223722
-0.220352,-0.218573,-0.210462
-0.20776,-0.206269,-0.197309
-0.195169,-0.193932,-0.184276
-0.182577,-0.181565,-0.171374
-0.169986,-0.169168,-0.158614
-0.157394,-0.156745,-0.146003
-0.144803,-0.144297,-0.133547
-0.132211,-0.131826,-0.121249
-0.11962,-0.119335,-0.109109
-0.107028,-0.106824,-0.0971254
-0.0944365,-0.0942962,-0.0852918
-0.0818451,-0.0817537,-0.0735997
-0.0692534,-0.0691981,-0.0620373
-0.0566619,-0.0566316,-0.0505904
