Loss,Epochs,How may saturated
0.0499998,2379,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,-0.14238
-3.129,-0.0125936,-0.150108
-3.11641,-0.0251831,-0.157847
-3.10382,-0.0377681,-0.165595
-3.09122,-0.0503474,-0.173352
-3.07863,-0.0629187,-0.181118
-3.06604,-0.0754798,-0.188892
-3.05345,-0.0880292,-0.196675
-3.04086,-0.100565,-0.204466
-3.02827,-0.113084,-0.212264
-3.01567,-0.125586,-0.220069
-3.00308,-0.138067,-0.22788
-2.99049,-0.150527,-0.235697
-2.9779,-0.162963,-0.243519
-2.96531,-0.175373,-0.251347
-2.95272,-0.187755,-0.25918
-2.94013,-0.200107,-0.267017
-2.92753,-0.212428,-0.274858
-2.91494,-0.224715,-0.282702
-2.90235,-0.236966,-0.290549
-2.88976,-0.24918,-0.298398
-2.87717,-0.261354,-0.306249
-2.86458,-0.273487,-0.314101
-2.85198,-0.285576,-0.321953
-2.83939,-0.297621,-0.329807
-2.8268,-0.309618,-0.337659
-2.81421,-0.321566,-0.345511
-2.80162,-0.333463,-0.353361
-2.78903,-0.345307,-0.361208
-2.77644,-0.357096,-0.369053
-2.76384,-0.368829,-0.376895
-2.75125,-0.380503,-0.384733
-2.73866,-0.392117,-0.392566
-2.72607,-0.403669,-0.400393
-2.71348,-0.415157,-0.408215
-2.70089,-0.426578,-0.41603
-2.68829,-0.437933,-0.423838
-2.6757,-0.449218,-0.431637
-2.66311,-0.460431,-0.439428
-2.65052,-0.471572,-0.44721
-2.63793,-0.482638,-0.454981
-2.62534,-0.493628,-0.462741
-2.61275,-0.504539,-0.47049
-2.60015,-0.51537,-0.478226
-2.58756,-0.526119,-0.485948
-2.57497,-0.536785,-0.493656
-2.56238,-0.547366,-0.50135
-2.54979,-0.55786,-0.509028
-2.5372,-0.568266,-0.516688
-2.5246,-0.578581,-0.524332
-2.51201,-0.588805,-0.531956
-2.49942,-0.598936,-0.539562
-2.48683,-0.608971,-0.547147
-2.47424,-0.61891,-0.554712
-2.46165,-0.628751,-0.562253
-2.44906,-0.638492,-0.569772
-2.43646,-0.648132,-0.577267
-2.42387,-0.657669,-0.584736
-2.41128,-0.667102,-0.592179
-2.39869,-0.676429,-0.599596
-2.3861,-0.685649,-0.606984
-2.37351,-0.69476,-0.614342
-2.36091,-0.703761,-0.62167
