Loss,Epochs,How may saturated
0.00999819,2496,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,1.35177
-3.129,-0.0125936,1.33941
-3.11641,-0.0251831,1.32704
-3.10382,-0.0377681,1.31468
-3.09122,-0.0503474,1.30232
-3.07863,-0.0629187,1.28996
-3.06604,-0.0754798,1.2776
-3.05345,-0.0880292,1.26523
-3.04086,-0.100565,1.25287
-3.02827,-0.113084,1.24051
-3.01567,-0.125586,1.22815
-3.00308,-0.138067,1.21578
-2.99049,-0.150527,1.20342
-2.9779,-0.162963,1.19106
-2.96531,-0.175373,1.1787
-2.95272,-0.187755,1.16634
-2.94013,-0.200107,1.15397
-2.92753,-0.212428,1.14161
-2.91494,-0.224715,1.12925
-2.90235,-0.236966,1.11689
-2.88976,-0.24918,1.10452
-2.87717,-0.261354,1.09216
-2.86458,-0.273487,1.0798
-2.85198,-0.285576,1.06744
-2.83939,-0.297621,1.05508
-2.8268,-0.309618,1.04271
-2.81421,-0.321566,1.03035
-2.80162,-0.333463,1.01799
-2.78903,-0.345307,1.00563
-2.77644,-0.357096,0.993265
-2.76384,-0.368829,0.980903
-2.75125,-0.380503,0.968539
-2.73866,-0.392117,0.956178
-2.72607,-0.403669,0.943815
-2.71348,-0.415157,0.931453
-2.70089,-0.426578,0.919091
-2.68829,-0.437933,0.906729
-2.6757,-0.449218,0.894366
-2.66311,-0.460431,0.882006
-2.65052,-0.471572,0.869642
-2.63793,-0.482638,0.857279
-2.62534,-0.493628,0.844916
-2.61275,-0.504539,0.832556
-2.60015,-0.51537,0.820193
-2.58756,-0.526119,0.80783
-2.57497,-0.536785,0.79547
-2.56238,-0.547366,0.783107
-2.54979,-0.55786,0.770745
-2.5372,-0.568266,0.758382
-2.5246,-0.578581,0.746021
-2.51201,-0.588805,0.733658
-2.49942,-0.598936,0.721296
-2.48683,-0.608971,0.708934
-2.47424,-0.61891,0.696571
-2.46165,-0.628751,0.684208
-2.44906,-0.638492,0.671847
-2.43646,-0.648132,0.659485
-2.42387,-0.657669,0.647124
-2.41128,-0.667102,0.63476
-2.39869,-0.676429,0.622398
-2.3861,-0.685649,0.610035
-2.37351,-0.69476,0.597674
-2.36091,-0.703761,0.585311
-2.34832,-0.712651,0.572949
-2.33573,-0.721427,0.560587
-2.32314,-0.73009,0.548225
-2.31055,-0.738636,0.535862
-2.29796,-0.747065,0.523501
-2.28537,-0.755376,0.511138
-2.27277,-0.763567,0.498775
-2.26018,-0.771637,0.486413
-2.24759,-0.779584,0.474051
-2.235,-0.787409,0.461689
-2.22241,-0.795108,0.449327
-2.20982,-0.802681,0.436965
-2.19722,-0.810127,0.424603
-2.18463,-0.817444,0.412241
-2.17204,-0.824632,0.399877
-2.15945,-0.831689,0.387515
-2.14686,-0.838614,0.375153
-2.13427,-0.845407,0.362791
-2.12168,-0.852065,0.350429
-2.10908,-0.858588,0.338067
-2.09649,-0.864975,0.325705
-2.0839,-0.871225,0.313343
-2.07131,-0.877337,0.30098
-2.05872,-0.883309,0.288619
-2.04613,-0.889142,0.276255
-2.03353,-0.894834,0.263893
-2.02094,-0.900383,0.251532
-2.00835,-0.905791,0.239169
-1.99576,-0.911054,0.226807
-1.98317,-0.916173,0.214444
-1.97058,-0.921147,0.202082
-1.95799,-0.925974,0.18972
-1.94539,-0.930655,0.177358
-1.9328,-0.935188,0.164995
-1.92021,-0.939573,0.152634
