Loss,Epochs,How may saturated
0.0099993,8261,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,1.10373
-3.129,-0.0125936,1.09694
-3.11641,-0.0251831,1.0901
-3.10382,-0.0377681,1.0832
-3.09122,-0.0503474,1.07624
-3.07863,-0.0629187,1.06923
-3.06604,-0.0754798,1.06216
-3.05345,-0.0880292,1.05504
-3.04086,-0.100565,1.04786
-3.02827,-0.113084,1.04062
-3.01567,-0.125586,1.03333
-3.00308,-0.138067,1.02598
-2.99049,-0.150527,1.01857
-2.9779,-0.162963,1.0111
-2.96531,-0.175373,1.00358
-2.95272,-0.187755,0.995995
-2.94013,-0.200107,0.988352
-2.92753,-0.212428,0.980648
-2.91494,-0.224715,0.972885
-2.90235,-0.236966,0.965061
-2.88976,-0.24918,0.957178
-2.87717,-0.261354,0.949233
-2.86458,-0.273487,0.941226
-2.85198,-0.285576,0.933158
-2.83939,-0.297621,0.925028
-2.8268,-0.309618,0.916836
-2.81421,-0.321566,0.908581
-2.80162,-0.333463,0.900264
-2.78903,-0.345307,0.891883
-2.77644,-0.357096,0.883438
-2.76384,-0.368829,0.87493
-2.75125,-0.380503,0.866357
-2.73866,-0.392117,0.857719
-2.72607,-0.403669,0.849017
-2.71348,-0.415157,0.84025
-2.70089,-0.426578,0.831417
-2.68829,-0.437933,0.822518
-2.6757,-0.449218,0.813554
-2.66311,-0.460431,0.804523
-2.65052,-0.471572,0.795426
-2.63793,-0.482638,0.786262
-2.62534,-0.493628,0.777031
-2.61275,-0.504539,0.767732
-2.60015,-0.51537,0.758366
-2.58756,-0.526119,0.748932
-2.57497,-0.536785,0.73943
-2.56238,-0.547366,0.72986
-2.54979,-0.55786,0.72022
-2.5372,-0.568266,0.710513
-2.5246,-0.578581,0.700736
-2.51201,-0.588805,0.69089
-2.49942,-0.598936,0.680975
-2.48683,-0.608971,0.670992
-2.47424,-0.61891,0.660937
-2.46165,-0.628751,0.650813
-2.44906,-0.638492,0.640619
-2.43646,-0.648132,0.630354
-2.42387,-0.657669,0.62002
-2.41128,-0.667102,0.609615
-2.39869,-0.676429,0.59914
-2.3861,-0.685649,0.588594
-2.37351,-0.69476,0.577978
-2.36091,-0.703761,0.56729
-2.34832,-0.712651,0.556533
-2.33573,-0.721427,0.545705
-2.32314,-0.73009,0.534805
-2.31055,-0.738636,0.523835
-2.29796,-0.747065,0.512794
-2.28537,-0.755376,0.501683
-2.27277,-0.763567,0.490501
-2.26018,-0.771637,0.479248
-2.24759,-0.779584,0.467925
-2.235,-0.787409,0.456531
-2.22241,-0.795108,0.445067
-2.20982,-0.802681,0.433533
-2.19722,-0.810127,0.421929
-2.18463,-0.817444,0.410256
-2.17204,-0.824632,0.398512
-2.15945,-0.831689,0.3867
-2.14686,-0.838614,0.374819
-2.13427,-0.845407,0.362868
-2.12168,-0.852065,0.35085
-2.10908,-0.858588,0.338763
-2.09649,-0.864975,0.326609
-2.0839,-0.871225,0.314387
-2.07131,-0.877337,0.302098
-2.05872,-0.883309,0.289744
-2.04613,-0.889142,0.277323
-2.03353,-0.894834,0.264837
-2.02094,-0.900383,0.252286
-2.00835,-0.905791,0.239671
-1.99576,-0.911054,0.226993
-1.98317,-0.916173,0.214252
-1.97058,-0.921147,0.201449
-1.95799,-0.925974,0.188585
-1.94539,-0.930655,0.175659
-1.9328,-0.935188,0.162674
-1.92021,-0.939573,0.149631
-1.90762,-0.94381,0.136529
-1.89503,-0.947896,0.123371
-1.88244,-0.951832,0.110157
-1.86984,-0.955617,0.0968883
-1.85725,-0.959251,0.0835656
-1.84466,-0.962733,0.0701906
-1.83207,-0.966062,0.0567642
-1.81948,-0.969238,0.0432884
-1.80689,-0.97226,0.0297639
-1.7943,-0.975128,0.0161927
-1.7817,-0.977841,0.00257537
-1.76911,-0.9804,-0.011086
-1.75652,-0.982803,-0.0247897
-1.74393,-0.98505,-0.0385341
-1.73134,-0.987141,-0.0523176
-1.71875,-0.989075,-0.0661377
-1.70615,-0.990853,-0.079994
-1.69356,-0.992474,-0.0938831
-1.68097,-0.993937,-0.107803
-1.66838,-0.995243,-0.121753
-1.65579,-0.99639,-0.135729
-1.6432,-0.99738,-0.14973
-1.6306,-0.998212,-0.163753
-1.61801,-0.998886,-0.177796
-1.60542,-0.999401,-0.191856
-1.59283,-0.999757,-0.20593
-1.58024,-0.999955,-0.220016
-1.56765,-0.999995,-0.234111
-1.55506,-0.999876,-0.248211
-1.54246,-0.999599,-0.262314
