Loss,Epochs,How may saturated
0.00999834,6730,0

x,Sin(x),NN prediction
-3.14159,-2.53518e-06,0.933237
-3.129,-0.0125936,0.928452
-3.11641,-0.0251831,0.923616
-3.10382,-0.0377681,0.918731
-3.09122,-0.0503474,0.913795
-3.07863,-0.0629187,0.908808
-3.06604,-0.0754798,0.90377
-3.05345,-0.0880292,0.898679
-3.04086,-0.100565,0.893537
-3.02827,-0.113084,0.88834
-3.01567,-0.125586,0.883091
-3.00308,-0.138067,0.877787
-2.99049,-0.150527,0.872429
-2.9779,-0.162963,0.867016
-2.96531,-0.175373,0.861548
-2.95272,-0.187755,0.856023
-2.94013,-0.200107,0.850442
-2.92753,-0.212428,0.844804
-2.91494,-0.224715,0.839108
-2.90235,-0.236966,0.833354
-2.88976,-0.24918,0.827541
-2.87717,-0.261354,0.82167
-2.86458,-0.273487,0.815739
-2.85198,-0.285576,0.809747
-2.83939,-0.297621,0.803695
-2.8268,-0.309618,0.797581
-2.81421,-0.321566,0.791406
-2.80162,-0.333463,0.785168
-2.78903,-0.345307,0.778868
-2.77644,-0.357096,0.772504
-2.76384,-0.368829,0.766076
-2.75125,-0.380503,0.759583
-2.73866,-0.392117,0.753026
-2.72607,-0.403669,0.746403
-2.71348,-0.415157,0.739713
-2.70089,-0.426578,0.732958
-2.68829,-0.437933,0.726134
-2.6757,-0.449218,0.719243
-2.66311,-0.460431,0.712285
-2.65052,-0.471572,0.705256
-2.63793,-0.482638,0.698159
-2.62534,-0.493628,0.690991
-2.61275,-0.504539,0.683754
-2.60015,-0.51537,0.676445
-2.58756,-0.526119,0.669064
-2.57497,-0.536785,0.661612
-2.56238,-0.547366,0.654087
-2.54979,-0.55786,0.646488
-2.5372,-0.568266,0.638816
-2.5246,-0.578581,0.63107
-2.51201,-0.588805,0.623248
-2.49942,-0.598936,0.615352
-2.48683,-0.608971,0.60738
-2.47424,-0.61891,0.599331
-2.46165,-0.628751,0.591205
-2.44906,-0.638492,0.583002
-2.43646,-0.648132,0.574722
-2.42387,-0.657669,0.566362
-2.41128,-0.667102,0.557924
-2.39869,-0.676429,0.549407
-2.3861,-0.685649,0.540809
-2.37351,-0.69476,0.532132
-2.36091,-0.703761,0.523373
-2.34832,-0.712651,0.514533
-2.33573,-0.721427,0.505612
-2.32314,-0.73009,0.496608
-2.31055,-0.738636,0.487521
-2.29796,-0.747065,0.478352
-2.28537,-0.755376,0.469099
-2.27277,-0.763567,0.459763
-2.26018,-0.771637,0.450342
-2.24759,-0.779584,0.440836
-2.235,-0.787409,0.431245
-2.22241,-0.795108,0.421569
-2.20982,-0.802681,0.411808
-2.19722,-0.810127,0.401959
-2.18463,-0.817444,0.392025
-2.17204,-0.824632,0.382004
-2.15945,-0.831689,0.371897
-2.14686,-0.838614,0.361702
-2.13427,-0.845407,0.351419
-2.12168,-0.852065,0.341049
-2.10908,-0.858588,0.330591
-2.09649,-0.864975,0.320045
-2.0839,-0.871225,0.309411
-2.07131,-0.877337,0.298688
-2.05872,-0.883309,0.287877
-2.04613,-0.889142,0.276977
-2.03353,-0.894834,0.265989
-2.02094,-0.900383,0.254913
-2.00835,-0.905791,0.243747
-1.99576,-0.911054,0.232493
-1.98317,-0.916173,0.22115
-1.97058,-0.921147,0.209719
-1.95799,-0.925974,0.1982
-1.94539,-0.930655,0.186592
-1.9328,-0.935188,0.174896
-1.92021,-0.939573,0.163113
-1.90762,-0.94381,0.151243
-1.89503,-0.947896,0.139285
-1.88244,-0.951832,0.12724
-1.86984,-0.955617,0.115109
-1.85725,-0.959251,0.102892
-1.84466,-0.962733,0.0905904
-1.83207,-0.966062,0.0782035
-1.81948,-0.969238,0.0657323
-1.80689,-0.97226,0.0531779
-1.7943,-0.975128,0.0405405
-1.7817,-0.977841,0.0278211
-1.76911,-0.9804,0.0150207
-1.75652,-0.982803,0.00213998
-1.74393,-0.98505,-0.0108199
-1.73134,-0.987141,-0.0238582
-1.71875,-0.989075,-0.0369731
-1.70615,-0.990853,-0.0501641
-1.69356,-0.992474,-0.0634298
